Price,Close,High,Low,Open,Volume
Ticker,AWH,AWH,AWH,AWH,AWH
Date,,,,,
2000-10-02,4303.125,5915.625,4293.75,4579.6875,12708
2000-10-09,4256.25,4722.65625,3787.5,4275.0,10487
2000-10-16,4265.625,4500.0,3881.25,4190.625,4929
2000-10-23,4462.5,5137.5,4068.75,4293.75,4763
2000-10-30,5231.25,5325.0,4350.0,4572.65625,5940
2000-11-06,4856.25,5634.375,4800.0,5325.0,5734
2000-11-13,3862.5,4610.15625,3750.0,4537.5,4879
2000-11-20,2850.0,3937.5,2437.5,3937.5,6128
2000-11-27,2268.75,2981.25,1425.0,2981.25,12557
2000-12-04,2568.75,2662.5,2231.25,2247.65625,4062
2000-12-11,2343.75,2793.75,2287.5,2606.25,2166
2000-12-18,2062.5,2550.0,1912.5,2475.0,2079
2000-12-25,1987.5,2100.0,1912.5,2008.59375,2319
2001-01-01,1781.25,2025.0,1668.75,2025.0,1213
2001-01-08,1162.5,1387.5,1143.75,1350.0,17805
2001-01-15,1181.25,1331.25,1012.5,1181.25,4795
2001-01-22,1068.75,1200.0,1031.25,1178.90625,4267
2001-01-29,1228.125,1312.5,1059.375,1068.75,3645
2001-02-05,1275.0,1350.0,1162.5,1237.5,1010
2001-02-12,1218.75,1293.75,1200.0,1284.375,1812
2001-02-19,1021.875,1265.625,825.0,1253.90625,2122
2001-02-26,890.625,1256.25,740.625,1021.875,1765
2001-03-05,750.0,900.0,637.5,881.25,2905
2001-03-12,810.9375,1003.125,675.0,726.5625,7798
2001-03-19,731.25,881.25,693.75,810.9375,1611
2001-03-26,665.625,862.5,562.5,815.625,4190
2001-04-02,787.5,787.5,665.625,665.625,7994
2001-04-09,667.5,823.5,622.5,787.5,3646
2001-04-16,1011.0,1011.0,622.5,645.0,1494
2001-04-23,973.5,1050.0,907.5,1021.5,1660
2001-04-30,960.0,1200.0,922.5,945.0,5158
2001-05-07,900.0,1012.5,864.0,975.0,1845
2001-05-14,802.5,900.0,765.0,900.0,4338
2001-05-21,940.5,1080.0,825.0,832.5,7051
2001-05-28,1003.5,1050.0,922.5,937.5,3150
2001-06-04,1020.0,1050.0,954.0,1017.0,4889
2001-06-11,976.5,1048.5,900.0,1026.0,2570
2001-06-18,931.5,1020.0,832.5,960.0,2050
2001-06-25,1012.5,1050.0,873.0,930.0,4251
2001-07-02,900.0,999.0,885.0,999.0,1446
2001-07-09,754.5,922.5,720.0,886.5,1797
2001-07-16,688.5,774.0,675.0,772.5,2186
2001-07-23,649.5,723.0,648.0,714.0,977
2001-07-30,660.0,759.0,594.0,655.5,1202
2001-08-06,615.0,726.0,610.5,696.0,881
2001-08-13,625.5,706.5,616.5,642.0,594
2001-08-20,742.5,765.0,646.5,655.5,1496
2001-08-27,627.0,757.5,612.0,745.5,689
2001-09-03,487.5,664.5,451.5,621.0,4980
2001-09-10,510.0,559.5,480.0,523.5,224
2001-09-17,466.5,577.5,309.0,487.5,3871
2001-09-24,457.5,525.0,417.0,487.5,4382
2001-10-01,426.0,478.5,424.5,441.0,3300
2001-10-08,429.0,469.5,408.0,450.0,5810
2001-10-15,426.0,499.5,414.0,457.5,2102
2001-10-22,547.5,655.5,399.0,426.0,5681
2001-10-29,754.5,825.0,555.0,580.5,8837
2001-11-05,795.0,892.5,754.5,780.0,5767
2001-11-12,742.5,802.5,693.0,793.5,3390
2001-11-19,768.0,823.5,727.5,739.5,5370
2001-11-26,772.5,810.0,744.0,786.0,2579
2001-12-03,895.5,973.5,742.5,748.5,4073
2001-12-10,778.5,912.0,741.0,892.5,4007
2001-12-17,930.0,945.0,739.5,741.0,4049
2001-12-24,1146.0,1185.0,900.0,943.5,4660
2001-12-31,1087.5,1237.5,1021.5,1140.0,3430
2002-01-07,1044.0,1173.0,1017.0,1074.0,1948
2002-01-14,1045.5,1125.0,1042.5,1051.5,1287
2002-01-21,996.0,1077.0,972.0,1065.0,2887
2002-01-28,1045.5,1087.5,955.5,984.0,1542
2002-02-04,901.5,1069.5,832.5,1057.5,1651
2002-02-11,918.0,1050.0,900.0,928.5,5282
2002-02-18,904.5,930.0,855.0,903.0,1735
2002-02-25,855.0,912.0,787.5,912.0,2253
2002-03-04,1012.5,1029.0,795.0,814.5,6683
2002-03-11,1020.0,1080.0,915.0,1012.5,1116
2002-03-18,984.0,1039.5,975.0,1021.5,655
2002-03-25,903.0,1003.5,879.0,1003.5,2825
2002-04-01,927.0,976.5,837.0,915.0,1260
2002-04-08,919.5,942.0,859.5,939.0,1592
2002-04-15,966.0,1039.5,915.0,945.0,1428
2002-04-22,912.0,994.5,900.0,967.5,712
2002-04-29,900.0,985.5,888.0,903.0,1597
2002-05-06,882.0,903.0,849.0,900.0,1416
