Price,Close,High,Low,Open,Volume
Ticker,BMRN,BMRN,BMRN,BMRN,BMRN
Date,,,,,
1999-07-26,12.0,14.6875,11.0,13.3125,767500
1999-08-02,14.0,14.125,11.5,12.0625,485700
1999-08-09,14.25,15.125,14.0,14.25,377800
1999-08-16,15.75,16.5,14.0,14.3125,129000
1999-08-23,15.8125,16.25,15.25,16.0625,182500
1999-08-30,15.625,16.0,15.125,16.0,19200
1999-09-06,15.375,15.6875,14.6875,15.1875,76800
1999-09-13,16.0,16.125,15.0,15.3125,59900
1999-09-20,17.5,18.25,15.75,16.125,480300
1999-09-27,17.0,19.25,16.5,18.0,423600
1999-10-04,16.5,16.71875,15.3125,16.375,205600
1999-10-11,16.0625,16.5,16.0,16.5,188600
1999-10-18,15.0,16.375,15.0,16.0,196300
1999-10-25,15.375,15.625,14.75,15.5,222700
1999-11-01,15.375,16.375,14.625,15.75,169200
1999-11-08,13.0625,15.25,11.875,14.5,219900
1999-11-15,11.875,13.125,10.0,13.0,484300
1999-11-22,14.0,14.25,11.71875,11.9375,44100
1999-11-29,14.0,14.625,13.0625,13.75,62500
1999-12-06,12.625,14.625,12.625,14.375,138100
1999-12-13,13.0,13.75,12.75,13.0,111600
1999-12-20,12.625,13.75,12.5,13.0,68300
1999-12-27,11.75,13.09375,11.25,13.0,151600
2000-01-03,13.375,13.6875,11.75,12.25,35100
2000-01-10,16.75,17.0,13.375,13.375,97300
2000-01-17,15.0,17.0,14.25,16.9375,300400
2000-01-24,15.5,15.75,14.25,15.75,67800
2000-01-31,14.875,15.25,14.25,15.25,253900
2000-02-07,18.375,19.625,15.125,15.4375,949300
2000-02-14,19.0,19.6875,18.625,19.125,753600
2000-02-21,24.125,24.125,19.0,19.0,682000
2000-02-28,36.0,41.25,25.1875,26.0,1554700
2000-03-06,27.75,36.5,27.25,35.8125,689700
2000-03-13,26.0,27.75,22.125,27.0,1190300
2000-03-20,26.5,35.0,25.625,28.75,340600
2000-03-27,35.5,36.0,24.25,26.0,1361100
2000-04-03,27.0,30.375,25.0,30.0,273200
2000-04-10,19.0,26.75,19.0,26.375,202400
2000-04-17,20.25,23.75,18.875,20.0,214000
2000-04-24,17.8125,21.5,17.8125,19.75,106600
2000-05-01,20.75,21.0,17.9375,19.0625,296000
2000-05-08,20.25,22.0625,18.875,21.0,273200
2000-05-15,19.5,21.5625,19.5,20.4375,797000
2000-05-22,17.625,19.375,16.4375,19.375,149800
2000-05-29,18.125,18.5,16.5,17.0,241500
2000-06-05,17.75,18.875,16.375,18.5,414600
2000-06-12,18.25,18.75,17.75,17.75,148500
2000-06-19,18.0,18.375,16.5,17.625,231600
2000-06-26,17.0,18.625,16.0,18.0625,789900
2000-07-03,19.0625,19.125,15.75,16.75,555200
2000-07-10,21.75,21.875,18.25,18.3125,280600
2000-07-17,19.9375,21.5,19.625,20.625,228600
2000-07-24,18.75,21.875,18.515625,20.125,268600
2000-07-31,18.0,19.375,17.9375,19.375,276300
2000-08-07,16.75,17.9375,16.375,17.9375,296300
2000-08-14,18.0,18.375,16.875,17.0625,456500
2000-08-21,17.0,18.125,16.5625,18.125,204100
2000-08-28,16.5625,17.3125,16.5,17.0,93200
2000-09-04,18.8125,19.0625,16.8125,17.125,179200
2000-09-11,17.875,19.0625,17.625,18.8125,127400
2000-09-18,17.0,18.0,16.6875,17.9375,147000
2000-09-25,18.375,19.125,16.5,17.28125,305900
2000-10-02,16.5,18.5,16.5,18.5,36100
2000-10-09,15.4375,17.0,15.4375,16.0625,58600
2000-10-16,15.203125,16.0,12.5,15.5,126000
2000-10-23,13.0,15.0,12.9375,14.6875,61000
2000-10-30,13.0,13.5,12.25,13.1875,101200
2000-11-06,12.0,13.375,12.0,13.125,60900
2000-11-13,11.0625,12.40625,10.875,11.75,89700
2000-11-20,10.875,11.0,8.25,10.84375,198000
2000-11-27,9.5,12.0625,9.25,11.6875,193800
2000-12-04,9.875,10.0,9.1875,9.203125,284400
2000-12-11,9.0,9.875,8.75,9.625,254300
2000-12-18,8.375,9.5,6.9375,9.5,253200
2000-12-25,9.6875,10.0,8.140625,8.375,217000
2001-01-01,8.0625,10.125,8.0,10.0625,257000
2001-01-08,9.5,9.625,8.0625,8.75,245700
2001-01-15,9.96875,10.5625,9.25,9.4375,1231400
2001-01-22,10.6875,11.3125,10.1875,10.375,623000
2001-01-29,11.875,13.25,10.6875,10.75,512200
2001-02-05,10.25,11.625,10.0,11.625,126300
2001-02-12,10.25,11.1875,10.125,10.125,84000
2001-02-19,8.9375,10.125,8.625,10.0,79300
2001-02-26,8.375,9.859375,8.125,9.125,196900
2001-03-05,9.5,10.0,8.4375,9.09375,274600
2001-03-12,8.375,9.375,8.03125,8.875,132800
2001-03-19,7.875,8.875,6.875,8.625,160000
2001-03-26,7.4375,9.375,6.5625,8.25,254800
2001-04-02,8.75,9.5,7.5,7.75,179700
2001-04-09,9.609999656677246,9.609999656677246,8.800000190734863,9.100000381469727,56300
2001-04-16,9.289999961853027,10.130000114440918,8.369999885559082,9.600000381469727,164800
2001-04-23,10.260000228881836,10.5,9.149999618530273,9.479999542236328,217500
2001-04-30,11.760000228881836,11.869999885559082,10.25,10.3100004196167,240000
2001-05-07,10.479999542236328,11.5600004196167,10.25,11.5,421100
2001-05-14,11.5,11.859999656677246,10.319999694824219,10.75,398300
2001-05-21,12.09000015258789,12.479999542236328,11.390000343322754,11.75,162200
2001-05-28,11.550000190734863,12.25,11.300000190734863,12.010000228881836,294800
2001-06-04,12.210000038146973,12.720000267028809,11.539999961853027,11.539999961853027,263900
2001-06-11,12.119999885559082,12.949999809265137,12.0,12.380000114440918,551900
2001-06-18,12.75,12.880000114440918,12.0,12.0,213300
2001-06-25,13.210000038146973,13.289999961853027,12.300000190734863,12.300000190734863,376100
2001-07-02,13.0600004196167,13.289999961853027,12.59000015258789,13.180000305175781,137700
2001-07-09,13.569999694824219,13.739999771118164,12.75,12.75,388300
2001-07-16,13.180000305175781,13.649999618530273,12.760000228881836,13.100000381469727,288900
2001-07-23,11.899999618530273,13.300000190734863,11.489999771118164,13.300000190734863,193100
2001-07-30,11.84000015258789,12.039999961853027,11.529999732971191,11.550000190734863,150100
2001-08-06,11.649999618530273,12.289999961853027,11.319999694824219,11.579999923706055,180000
2001-08-13,10.430000305175781,11.640000343322754,9.949999809265137,11.380000114440918,336300
2001-08-20,11.300000190734863,11.350000381469727,10.180000305175781,10.180000305175781,149800
2001-08-27,12.210000038146973,12.600000381469727,10.710000038146973,11.25,473300
2001-09-03,11.699999809265137,12.779999732971191,11.630000114440918,11.75,405300
2001-09-10,12.0,12.989999771118164,11.0,11.09000015258789,71300
2001-09-17,9.119999885559082,11.25,8.069999694824219,9.739999771118164,547400
2001-09-24,9.75,10.100000381469727,9.100000381469727,9.550000190734863,549100
2001-10-01,10.199999809265137,10.890000343322754,9.4399995803833,9.850000381469727,310400
2001-10-08,10.989999771118164,11.75,8.649999618530273,9.640000343322754,1349600
2001-10-15,10.369999885559082,11.25,9.850000381469727,11.170000076293945,612100
2001-10-22,11.649999618530273,11.899999618530273,9.8100004196167,10.5,755000
2001-10-29,12.869999885559082,13.850000381469727,9.899999618530273,11.739999771118164,5306500
2001-11-05,12.1899995803833,13.239999771118164,11.75,12.449999809265137,5298300
2001-11-12,12.029999732971191,12.149999618530273,10.989999771118164,11.75,928500
2001-11-19,12.390000343322754,12.699999809265137,11.899999618530273,12.199999809265137,460900
2001-11-26,12.0,12.890000343322754,11.920000076293945,12.319999694824219,587100
2001-12-03,14.15999984741211,14.399999618530273,11.050000190734863,12.010000228881836,4796400
2001-12-10,12.300000190734863,13.970000267028809,12.199999809265137,13.9399995803833,3245400
2001-12-17,12.920000076293945,13.399999618530273,12.149999618530273,12.550000190734863,5916500
2001-12-24,13.5,13.75,12.800000190734863,12.850000381469727,1742300
2001-12-31,13.789999961853027,14.050000190734863,12.949999809265137,13.699999809265137,1759100
2002-01-07,13.449999809265137,13.949999809265137,13.109999656677246,13.460000038146973,1819400
2002-01-14,13.0,14.0600004196167,12.630000114440918,13.399999618530273,1233300
2002-01-21,11.949999809265137,13.0,11.640000343322754,12.9399995803833,895300
2002-01-28,12.109999656677246,12.229999542236328,11.199999809265137,11.800000190734863,2977300
2002-02-04,12.050000190734863,12.960000038146973,11.899999618530273,12.170000076293945,1930000
2002-02-11,11.699999809265137,12.25,11.600000381469727,12.050000190734863,1700600
2002-02-18,11.300000190734863,11.90999984741211,10.960000038146973,11.449999809265137,1070600
2002-02-25,9.850000381469727,11.260000228881836,9.710000038146973,11.220000267028809,3275900
2002-03-04,9.510000228881836,10.350000381469727,9.25,9.979999542236328,2071300
2002-03-11,10.550000190734863,10.699999809265137,9.510000228881836,9.649999618530273,2357500
2002-03-18,10.5,10.75,9.760000228881836,10.699999809265137,1229500
2002-03-25,10.470000267028809,10.699999809265137,10.199999809265137,10.619999885559082,1411300
2002-04-01,8.210000038146973,10.5,8.149999618530273,10.5,3275800
2002-04-08,8.0,8.5,7.46999979019165,8.210000038146973,2239400
2002-04-15,7.949999809265137,8.100000381469727,7.380000114440918,8.039999961853027,1318600
2002-04-22,6.0,8.050000190734863,5.960000038146973,8.050000190734863,1710600
2002-04-29,6.019999980926514,6.25,5.559999942779541,6.199999809265137,1794000
2002-05-06,5.420000076293945,6.449999809265137,5.349999904632568,6.090000152587891,521300
2002-05-13,6.559999942779541,6.610000133514404,5.550000190734863,5.570000171661377,1662300
2002-05-20,6.289999961853027,6.849999904632568,6.150000095367432,6.739999771118164,833900
2002-05-27,5.789999961853027,6.340000152587891,5.539999961853027,6.340000152587891,721400
2002-06-03,5.25,6.199999809265137,5.0,5.909999847412109,1356100
2002-06-10,4.5,5.679999828338623,4.0,5.25,1237000
2002-06-17,4.5,5.329999923706055,4.389999866485596,4.599999904632568,1755500
2002-06-24,5.210000038146973,5.849999904632568,4.110000133514404,5.199999809265137,3713400
2002-07-01,4.909999847412109,5.460000038146973,4.510000228881836,5.199999809265137,752000
2002-07-08,4.71999979019165,5.03000020980835,4.5,4.909999847412109,997000
2002-07-15,4.550000190734863,5.260000228881836,4.25,4.840000152587891,1250500
2002-07-22,5.0,5.139999866485596,4.139999866485596,4.449999809265137,1057100
2002-07-29,4.25,5.150000095367432,3.8399999141693115,5.0,1104300
2002-08-05,4.199999809265137,4.539999961853027,3.9000000953674316,4.090000152587891,1497200
2002-08-12,4.139999866485596,4.610000133514404,4.0,4.210000038146973,889000
2002-08-19,4.110000133514404,4.300000190734863,3.799999952316284,4.199999809265137,567700
2002-08-26,4.139999866485596,4.400000095367432,3.6500000953674316,4.050000190734863,1946400
2002-09-02,4.199999809265137,4.380000114440918,3.569999933242798,4.119999885559082,919600
2002-09-09,4.300000190734863,4.539999961853027,4.050000190734863,4.190000057220459,730300
2002-09-16,5.659999847412109,5.730000019073486,4.5,4.579999923706055,2112100
2002-09-23,5.559999942779541,6.53000020980835,5.400000095367432,5.449999809265137,2545800
2002-09-30,5.070000171661377,6.420000076293945,4.949999809265137,5.5,1292300
2002-10-07,5.78000020980835,5.880000114440918,4.730000019073486,4.949999809265137,933000
2002-10-14,6.190000057220459,6.300000190734863,5.599999904632568,5.800000190734863,1943300
2002-10-21,6.400000095367432,6.46999979019165,5.800000190734863,6.150000095367432,1266400
2002-10-28,6.710000038146973,7.150000095367432,6.179999828338623,6.300000190734863,2745300
2002-11-04,7.309999942779541,7.539999961853027,6.480000019073486,6.789999961853027,1832400
2002-11-11,7.130000114440918,7.53000020980835,6.820000171661377,7.25,849900
2002-11-18,7.519999980926514,7.559999942779541,6.21999979019165,6.920000076293945,2838600
2002-11-25,8.430000305175781,8.59000015258789,7.550000190734863,7.570000171661377,2662100
2002-12-02,8.100000381469727,8.710000038146973,7.349999904632568,8.579999923706055,1876900
2002-12-09,7.739999771118164,8.210000038146973,7.550000190734863,7.78000020980835,974800
2002-12-16,7.300000190734863,7.829999923706055,7.050000190734863,7.760000228881836,1415600
2002-12-23,6.510000228881836,7.170000076293945,6.440000057220459,7.159999847412109,791600
