Price,Close,High,Low,Open,Volume
Ticker,BODI,BODI,BODI,BODI,BODI
Date,,,,,
2021-01-11,523.5,579.0499877929688,513.5,562.0999755859375,7714
2021-01-18,533.5,534.5,515.5,525.0,16792
2021-01-25,521.0,600.0,512.5,545.0,16452
2021-02-01,536.5,544.0,520.0,521.0,12682
2021-02-08,574.0,622.5,533.5,539.0,408016
2021-02-15,702.5,861.5,535.0,580.0,653334
2021-02-22,633.5,910.0,587.0,800.0,802596
2021-03-01,594.5,671.0,506.5,653.5,385044
2021-03-08,585.5,612.5,543.0,586.5,224368
2021-03-15,533.0,599.5,525.5,582.5,145198
2021-03-22,512.5,545.0,486.0,541.0,159636
2021-03-29,503.0,522.5,500.0,508.5,146946
2021-04-05,502.5,514.5,499.75,503.0,144164
2021-04-12,499.0,504.0,495.5,502.5,136044
2021-04-19,500.5,502.0,493.1499938964844,497.5,150172
2021-04-26,502.0,507.1000061035156,497.5,507.0,79808
2021-05-03,503.5,506.5,499.0,504.5,89448
2021-05-10,496.0,503.0,491.5,503.0,85844
2021-05-17,498.0,500.5,494.0,494.5,57338
2021-05-24,502.0,509.0,495.5,498.5,75160
2021-05-31,506.0,506.5,498.0,501.5,122438
2021-06-07,518.0,556.5,503.0,507.5,227152
2021-06-14,499.5,526.0,498.5,525.5,157528
2021-06-21,600.0,617.0,489.75,497.0,295368
2021-06-28,497.0,675.0,462.0,657.5,387304
2021-07-05,477.5,505.0,426.6000061035156,504.0,165558
2021-07-12,397.0,477.5,390.5,473.0,157030
2021-07-19,543.5,571.0,359.5,389.5,243050
2021-07-26,449.0,555.0,440.0,542.5,120668
2021-08-02,443.0,484.0,428.0,451.5,78514
2021-08-09,378.5,472.0,362.5,437.5,318480
2021-08-16,396.0,455.5,344.1499938964844,374.5,255836
2021-08-23,383.5,395.0,366.0,390.0,163622
2021-08-30,379.5,401.0,362.5,382.5,125980
2021-09-06,331.5,383.5,327.5,382.0,222694
2021-09-13,351.0,372.0,305.0,335.5,451918
2021-09-20,311.5,346.5,310.5,330.5,148954
2021-09-27,282.0,322.5,270.0,312.5,184832
2021-10-04,265.0,285.0,256.0,277.5,160414
2021-10-11,265.0,275.0,257.5,266.0,106842
2021-10-18,248.5,269.5,240.5,265.0,155816
2021-10-25,263.0,277.3999938964844,237.5,242.5,145716
2021-11-01,250.0,281.0,246.0,265.0,120328
2021-11-08,238.5,255.5,226.25,255.0,170258
2021-11-15,138.0,244.5,136.0,244.5,598284
2021-11-22,146.5,146.5,129.0,141.5,166014
2021-11-29,118.5,144.5,111.0,144.5,328104
2021-12-06,116.5,133.75,108.0,116.0,153676
2021-12-13,118.5,120.0,104.0,115.5,178162
2021-12-20,126.0,126.0,106.5,116.0,121014
2021-12-27,118.5,127.0,108.0,126.0,232924
2022-01-03,104.0,127.0,99.0,119.5,108820
2022-01-10,97.5,104.75,95.0,102.5,110462
2022-01-17,82.0,101.0,82.0,97.5,119484
2022-01-24,82.0,89.0,75.25,80.5,136232
2022-01-31,96.5,97.5,82.5,83.0,127998
2022-02-07,106.5,119.0,98.5,102.5,137372
2022-02-14,107.0,123.5,103.4000015258789,105.0,112616
2022-02-21,100.0,107.0,85.0,104.5,94804
2022-02-28,97.5,113.5,95.0,96.5,152888
