Price,Close,High,Low,Open,Volume
Ticker,CLFD,CLFD,CLFD,CLFD,CLFD
Date,,,,,
1986-08-04,1.5,1.875,1.5,0.0,263800
1986-08-11,1.5625,1.6875,1.5625,0.0,149400
1986-08-18,1.5,1.625,1.5,0.0,84400
1986-08-25,1.5625,1.6875,1.5,0.0,99400
1986-09-01,1.625,1.6875,1.5625,0.0,26000
1986-09-08,1.625,1.75,1.625,0.0,28600
1986-09-15,1.6875,1.875,1.625,0.0,64800
1986-09-22,1.8125,2.0,1.6875,1.6875,28800
1986-09-29,2.0,2.1875,1.8125,0.0,75000
1986-10-06,2.0625,2.1875,2.0,0.0,82800
1986-10-13,2.0625,2.25,2.0,0.0,34800
1986-10-20,2.0625,2.25,2.0625,0.0,17400
1986-10-27,2.0625,2.25,2.0625,0.0,38800
1986-11-03,2.0,2.1875,2.0,0.0,40800
1986-11-10,2.0,2.1875,2.0,0.0,39000
1986-11-17,2.0,2.1875,2.0,0.0,44400
1986-11-24,2.0,2.125,2.0,0.0,32400
1986-12-01,1.875,2.125,1.875,0.0,176400
1986-12-08,1.875,2.0,1.875,0.0,39600
1986-12-15,1.875,2.0,1.875,0.0,43000
1986-12-22,1.8125,2.0,1.8125,0.0,77200
1986-12-29,1.875,2.0,1.8125,0.0,91400
1987-01-05,1.875,2.0,1.875,1.875,25400
1987-01-12,1.875,2.0,1.875,0.0,38800
1987-01-19,2.0,2.1875,1.9375,0.0,45600
1987-01-26,2.0,2.1875,2.0,0.0,11400
1987-02-02,2.0,2.1875,2.0,0.0,18600
1987-02-09,2.0,2.1875,2.0,0.0,30000
1987-02-16,2.0625,2.1875,2.0,0.0,41000
1987-02-23,2.0625,2.1875,2.0625,0.0,24000
1987-03-02,2.5,2.875,2.0625,0.0,87600
1987-03-09,2.5,2.75,2.5,0.0,36000
1987-03-16,2.75,3.0,2.625,2.625,23600
1987-03-23,2.75,3.125,2.75,0.0,33200
1987-03-30,3.0,3.375,2.875,0.0,36800
1987-04-06,3.125,3.375,3.0,0.0,43000
1987-04-13,3.125,3.375,3.125,0.0,35000
1987-04-20,3.125,3.375,3.125,3.125,18800
1987-04-27,3.125,3.375,3.125,0.0,8000
1987-05-04,3.125,3.25,3.125,0.0,38600
