Price,Close,High,Low,Open,Volume
Ticker,CVI,CVI,CVI,CVI,CVI
Date,,,,,
2007-10-22,6.893747329711914,7.224926472090484,5.752052022834579,6.115186634228162,11794900
2007-10-29,6.521900653839111,7.161017512953392,6.36212102348578,7.041909353397105,1848600
2007-11-05,6.498658180236816,6.760115027074029,5.871160972088172,5.871160972088172,1438200
2007-11-12,6.298208713531494,6.609051947228732,5.987365479834256,6.609051947228732,1389500
2007-11-19,6.347594738006592,6.420221678821085,6.08904245191928,6.274967797192099,1649500
2007-11-26,6.396981239318848,6.417316694597672,6.17038497885565,6.391170950925011,2125500
2007-12-03,6.231392860412598,6.463798891034644,6.173291075707244,6.396982226493266,1824300
2007-12-10,6.739780902862549,6.925705709860258,6.129714437276775,6.245917441650343,1064000
2007-12-17,7.184257984161377,7.227834044694932,6.672964173788473,6.745591126044289,1796200
2007-12-24,7.280124187469482,7.625828571177405,7.166826340295281,7.236548135025526,989700
2007-12-31,7.062243938446045,7.3963277728187595,6.826932793066948,7.28012477226733,1806100
2008-01-07,7.236546993255615,7.590966199072936,6.94022899682994,7.1174388767883405,3187800
2008-01-14,7.364370822906494,7.843708450743118,6.902463503145884,7.285933605415182,3937700
2008-01-21,7.341131210327148,7.710076197613617,6.4056958707787945,6.902464427302223,2335500
2008-01-28,7.750748157501221,7.9599135730766415,7.1116307787601745,7.3207967484352485,3259900
2008-02-04,7.559011459350586,7.776892262378065,6.89374847480557,7.744936233955517,2820200
2008-02-11,7.794322967529297,8.273660647726675,7.419568255411189,7.727506317522904,3323000
2008-02-18,7.773986339569092,8.108070093249895,7.556105558372983,7.8814738813301295,1517000
2008-02-25,8.163269996643066,8.988312264306904,7.765274032427181,7.826280963833861,3832100
2008-03-03,7.2859344482421875,8.352097927598779,7.230737819833656,8.105166225875946,1718900
2008-03-10,6.379549503326416,7.625827934607123,6.318543145817331,7.312079607461554,2571000
2008-03-17,7.15811014175415,7.428282413718975,6.016414697825121,6.3708344757142505,3458500
2008-03-24,6.643913269042969,7.58515842344191,6.56547603431815,7.224928837494139,2218600
2008-03-31,7.041905403137207,7.361463930483156,6.5654730321737675,6.731062304808653,1643400
2008-04-07,6.716540813446045,7.375993121270075,6.4812290883087185,7.091295600350478,1617700
2008-04-14,6.879222393035889,7.082577449641498,6.545138650391382,6.699107376060015,3519100
2008-04-21,6.707822799682617,7.175540371369542,6.507372332659726,6.824025768210575,2765300
2008-04-28,6.2168684005737305,6.783358977223822,5.810157487283822,6.6032438513141125,4137000
2008-05-05,5.786914348602295,6.335973813708531,5.685236526223479,6.187814796087893,2948900
2008-05-12,7.039006233215332,7.140684108301489,5.749151565476138,5.749151565476138,4687900
