Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DXR,DXR,DXR,DXR,DXR,DXR
Date,,,,,,
1983-07-25,6.186119556427002,9.5,10.5,9.5,9.5,3300
1983-08-01,6.186119556427002,9.5,10.25,9.5,9.5,4500
1983-08-08,6.186119556427002,9.5,10.25,9.5,9.5,700
1983-08-15,6.674497127532959,10.25,11.25,9.5,9.5,1700
1983-08-22,6.674497127532959,10.25,11.25,10.25,10.25,1100
1983-08-29,6.511703968048096,10.0,11.25,10.0,10.25,3200
1983-09-05,6.511703968048096,10.0,10.75,9.75,10.0,2900
1983-09-12,6.511703968048096,10.0,10.5,10.0,10.0,1900
1983-09-19,7.162874698638916,11.0,11.5,10.0,0.0,16700
1983-09-26,7.162874698638916,11.0,11.5,11.0,11.0,1600
1983-10-03,7.488460063934326,11.5,12.25,11.0,11.0,5700
1983-10-10,7.488460063934326,11.5,12.25,11.5,11.5,600
1983-10-17,7.488460063934326,11.5,12.25,11.5,11.5,900
1983-10-24,7.488460063934326,11.5,12.25,11.0,11.5,5800
1983-10-31,7.325669288635254,11.25,12.5,11.25,11.5,2800
1983-11-07,7.325669288635254,11.25,12.0,11.0,11.25,1000
1983-11-14,7.325669288635254,11.25,11.75,11.25,11.25,4100
1983-11-21,7.325669288635254,11.25,11.75,11.25,11.25,1700
1983-11-28,7.325669288635254,11.25,12.0,11.25,11.25,5000
1983-12-05,7.325669288635254,11.25,11.75,11.25,11.25,1900
1983-12-12,7.976839065551758,12.25,13.0,12.0,12.25,2600
1983-12-19,7.814045429229736,12.0,12.75,12.0,12.0,1700
1983-12-26,7.488460063934326,11.5,12.25,11.5,12.0,1100
1984-01-02,7.00008487701416,10.75,12.0,10.75,0.0,9400
1984-01-09,7.488460063934326,11.5,12.0,11.0,0.0,6800
1984-01-16,7.488460063934326,11.5,12.0,11.5,11.5,1400
1984-01-23,7.488460063934326,11.5,12.0,11.5,11.5,3700
1984-01-30,7.488460063934326,11.5,12.25,11.5,0.0,3800
1984-02-06,7.162874698638916,11.0,12.0,11.0,11.5,3800
1984-02-13,6.674497127532959,10.25,11.5,10.25,0.0,3900
1984-02-20,6.186119556427002,9.5,10.5,9.0,9.0,3700
1984-02-27,6.8372883796691895,10.5,11.0,10.0,0.0,4300
1984-03-05,6.186119556427002,9.5,11.0,9.5,10.5,1700
1984-03-12,6.511703968048096,10.0,10.75,9.5,9.5,4500
1984-03-19,6.511703968048096,10.0,10.75,10.0,10.0,2200
1984-03-26,6.674497127532959,10.25,10.5,10.25,10.25,5100
1984-04-02,5.86053466796875,9.0,10.5,9.0,9.75,2600
1984-04-09,5.534948825836182,8.5,9.5,8.5,9.0,3500
1984-04-16,5.697741508483887,8.75,9.25,8.5,8.5,2000
1984-04-23,5.86053466796875,9.0,9.5,8.25,8.25,5700
1984-04-30,6.023327350616455,9.25,9.75,9.0,9.0,900
1984-05-07,5.86053466796875,9.0,9.75,9.0,9.25,1500
1984-05-14,5.86053466796875,9.0,9.75,9.0,0.0,1900
1984-05-21,4.720986366271973,7.25,9.0,7.25,9.0,4000
1984-05-28,4.558193206787109,7.0,8.25,7.0,0.0,1300
1984-06-04,4.720986366271973,7.25,8.0,7.0,7.25,1300
1984-06-11,4.720986366271973,7.25,8.0,7.25,7.25,2200
1984-06-18,4.883779048919678,7.5,8.0,7.25,7.25,1900
1984-06-25,4.558193206787109,7.0,8.0,7.0,7.5,3400
1984-07-02,4.720986366271973,7.25,8.0,7.0,7.0,1100
1984-07-09,4.720986366271973,7.25,8.0,7.25,7.25,700
1984-07-16,4.720986366271973,7.25,8.0,7.25,7.25,1300
1984-07-23,4.558193206787109,7.0,7.75,7.0,7.0,4100
1984-07-30,4.720986366271973,7.25,7.75,7.0,7.0,700
1984-08-06,4.720986366271973,7.25,7.75,7.25,7.25,700
1984-08-13,4.720986366271973,7.25,7.75,7.25,7.25,300
1984-08-20,4.720986366271973,7.25,7.75,7.25,7.25,2100
1984-08-27,4.720986366271973,7.25,8.0,7.25,7.25,900
1984-09-03,4.720986366271973,7.25,8.25,7.25,0.0,6800
1984-09-10,4.883779048919678,7.5,8.25,7.5,7.5,3900
1984-09-17,5.046570777893066,7.75,8.5,7.75,7.75,2100
1984-09-24,5.2093634605407715,8.0,8.75,8.0,8.0,5100
1984-10-01,5.372156143188477,8.25,8.75,8.25,8.25,1000
1984-10-08,5.697741508483887,8.75,9.5,8.25,0.0,5900
1984-10-15,5.86053466796875,9.0,9.75,8.75,8.75,4100
1984-10-22,6.186119556427002,9.5,9.75,9.0,0.0,8100
1984-10-29,6.186119556427002,9.5,9.75,9.5,9.5,2800
1984-11-05,6.023327350616455,9.25,9.5,8.75,9.0,3400
1984-11-12,6.023327350616455,9.25,9.5,9.25,0.0,8000
1984-11-19,6.023327350616455,9.25,9.5,9.25,9.25,3000
1984-11-26,6.023327350616455,9.25,9.5,9.0,9.25,6400
1984-12-03,6.023327350616455,9.25,9.5,9.25,9.25,3400
1984-12-10,5.616345405578613,8.625,9.5,8.625,0.0,31000
1984-12-17,5.372156143188477,8.25,8.75,8.125,0.0,16700
1984-12-24,5.290760517120361,8.125,8.375,8.125,8.125,25500
1984-12-31,4.965174674987793,7.625,8.25,7.625,7.75,16700
1985-01-07,4.965174674987793,7.625,7.75,7.625,0.0,27500
1985-01-14,5.127967357635498,7.875,8.125,7.625,0.0,69700
1985-01-21,6.8372883796691895,10.5,11.0,9.75,0.0,66400
1985-01-28,6.8372883796691895,10.5,11.0,10.0,0.0,46500
1985-02-04,6.8372883796691895,10.5,11.0,10.5,0.0,94400
1985-02-11,6.674497127532959,10.25,11.0,10.25,0.0,67200
1985-02-18,6.511703968048096,10.0,10.25,10.0,0.0,24300
1985-02-25,6.511703968048096,10.0,10.25,10.0,10.0,17800
1985-03-04,6.511703968048096,10.0,10.25,10.0,0.0,13900
1985-03-11,5.534948825836182,8.5,10.25,8.5,0.0,39600
1985-03-18,2.930267333984375,4.5,9.0,4.5,0.0,168400
1985-03-25,2.930267333984375,4.5,5.0,4.0,0.0,51100
1985-04-01,2.6860780715942383,4.125,4.75,4.125,0.0,31700
1985-04-08,2.6860780715942383,4.125,4.5,4.125,4.125,3000
1985-04-15,3.0116636753082275,4.625,4.875,4.25,0.0,77400
1985-04-22,2.6046817302703857,4.0,4.5,4.0,4.0,17000
1985-04-29,2.767474412918091,4.25,4.5,4.0,4.0,22900
1985-05-06,3.0116636753082275,4.625,4.75,4.25,0.0,62800
1985-05-13,2.8488707542419434,4.375,4.625,4.25,4.25,17100
1985-05-20,3.093059778213501,4.75,4.875,4.75,0.0,110000
1985-05-27,3.093059778213501,4.75,5.0,4.75,0.0,50200
1985-06-03,3.255851984024048,5.0,5.125,4.875,0.0,61700
1985-06-10,3.4186441898345947,5.25,5.5,5.0,0.0,116000
1985-06-17,3.662834644317627,5.625,5.75,5.25,0.0,117700
1985-06-24,3.662834644317627,5.625,5.75,5.625,0.0,86200
1985-07-01,3.3372485637664795,5.125,5.625,5.125,0.0,23000
1985-07-08,3.50004243850708,5.375,5.375,5.0,0.0,32400
1985-07-15,3.744230031967163,5.75,5.75,5.125,0.0,106800
1985-07-22,3.744230031967163,5.75,5.75,5.625,0.0,53800
1985-07-29,4.069815158843994,6.25,6.25,5.625,0.0,223600
1985-08-05,3.988419532775879,6.125,6.25,6.125,0.0,84100
1985-08-12,3.988419532775879,6.125,6.25,6.0,6.125,34300
1985-08-19,4.3954010009765625,6.75,6.875,5.875,0.0,432100
1985-08-26,4.3954010009765625,6.75,6.75,6.625,0.0,18300
1985-09-02,4.476797103881836,6.875,6.875,6.625,0.0,32300
1985-09-09,4.3140034675598145,6.625,6.875,6.375,0.0,35600
1985-09-16,3.988419532775879,6.125,6.625,5.875,0.0,33300
1985-09-23,3.581437349319458,5.5,6.0,5.375,0.0,33600
1985-09-30,3.744230031967163,5.75,5.875,5.0,0.0,94900
1985-10-07,3.50004243850708,5.375,5.875,5.25,0.0,65400
1985-10-14,3.744230031967163,5.75,5.75,5.25,0.0,96800
1985-10-21,4.3954010009765625,6.75,7.0,5.5,0.0,209900
1985-10-28,4.069815158843994,6.25,6.75,6.25,0.0,69500
1985-11-04,4.720986366271973,7.25,7.5,6.0,0.0,339500
1985-11-11,4.3140034675598145,6.625,7.625,6.125,0.0,381000
1985-11-18,4.639589786529541,7.125,7.75,6.375,0.0,337900
