Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EGAN,EGAN,EGAN,EGAN,EGAN,EGAN
Date,,,,,,
1999-09-20,217.5,217.5,380.0,205.0,345.0,1111020
1999-09-27,226.875,226.875,259.375,170.0,239.375,484510
1999-10-04,225.0,225.0,267.5,191.25,241.25,388660
1999-10-11,216.25,216.25,255.625,207.5,231.25,291330
1999-10-18,210.0,210.0,235.0,188.125,221.25,248120
1999-10-25,291.25,291.25,334.375,214.375,218.75,518130
1999-11-01,290.0,290.0,354.375,269.375,275.0,142230
1999-11-08,360.0,360.0,455.0,273.75,283.75,372720
1999-11-15,419.375,419.375,428.75,346.25,360.0,179030
1999-11-22,385.0,385.0,420.0,346.25,416.25,87710
1999-11-29,437.5,437.5,497.5,397.5,398.75,196320
1999-12-06,543.75,543.75,634.375,435.0,447.5,180250
1999-12-13,380.0,380.0,545.0,376.25,545.0,159270
1999-12-20,408.125,408.125,438.75,347.5,388.75,219350
1999-12-27,377.5,377.5,438.75,350.0,435.0,194980
2000-01-03,322.5,322.5,386.25,303.125,385.0,134010
2000-01-10,288.75,288.75,357.5,275.0,340.0,151370
2000-01-17,404.375,404.375,419.375,250.0,288.75,356910
2000-01-24,351.25,351.25,473.75,347.5,450.0,287330
2000-01-31,386.5625,386.5625,397.1875,315.0,356.25,89480
2000-02-07,430.0,430.0,451.25,390.0,400.0,118790
2000-02-14,457.5,457.5,464.375,417.5,422.5,95550
2000-02-21,536.875,536.875,560.0,436.875,447.5,115010
2000-02-28,685.0,685.0,740.0,480.0,528.75,132610
2000-03-06,575.0,575.0,702.5,502.5,691.25,95640
2000-03-13,462.5,462.5,576.25,433.4375,549.375,120400
2000-03-20,400.0,400.0,475.0,355.625,468.125,161970
2000-03-27,390.0,390.0,430.0,330.625,410.0,112490
2000-04-03,300.0,300.0,380.0,260.0,380.0,223690
2000-04-10,180.0,180.0,307.5,170.0,307.5,193790
2000-04-17,167.5,167.5,200.0,123.125,170.0,187540
2000-04-24,166.25,166.25,190.0,141.875,165.0,100180
2000-05-01,198.75,198.75,205.625,159.375,179.375,184750
2000-05-08,167.5,167.5,230.0,165.0,203.75,192680
2000-05-15,152.5,152.5,186.25,148.75,166.875,96870
2000-05-22,105.0,105.0,155.625,102.5,155.0,108660
2000-05-29,132.5,132.5,140.0,105.625,112.5,199660
2000-06-05,135.0,135.0,165.625,131.25,136.875,362600
2000-06-12,116.25,116.25,138.75,110.625,136.25,360970
2000-06-19,110.0,110.0,124.375,102.5,120.0,337530
2000-06-26,121.25,121.25,131.875,103.75,112.5,462300
2000-07-03,139.375,139.375,141.25,117.5,124.375,324860
2000-07-10,144.375,144.375,161.25,135.625,142.5,374700
2000-07-17,126.875,126.875,157.5,126.875,145.0,208050
2000-07-24,85.0,85.0,133.75,82.5,129.0625,232810
2000-07-31,69.375,69.375,96.25,65.0,95.625,318110
2000-08-07,80.625,80.625,90.0,68.75,71.875,704990
2000-08-14,86.875,86.875,86.875,75.0,84.6875,198630
2000-08-21,88.125,88.125,97.5,86.25,88.125,242210
2000-08-28,136.25,136.25,143.125,86.25,88.125,574850
2000-09-04,110.0,110.0,133.125,106.25,132.5,244760
2000-09-11,118.75,118.75,125.625,102.5,105.0,285730
2000-09-18,91.25,91.25,117.5,87.5,115.625,216360
2000-09-25,94.0625,94.0625,96.25,71.25,95.625,239460
2000-10-02,73.125,73.125,95.0,70.0,91.25,131220
2000-10-09,73.75,73.75,85.0,67.5,73.75,160300
2000-10-16,72.5,72.5,77.5,60.0,74.0625,168430
2000-10-23,66.25,66.25,76.25,65.0,70.78125,84720
2000-10-30,60.0,60.0,69.375,58.75,66.40625,111240
2000-11-06,48.75,48.75,61.25,45.0,60.625,140920
2000-11-13,37.5,37.5,47.5,36.25,45.9375,138250
2000-11-20,40.0,40.0,40.625,29.375,37.5,127240
2000-11-27,23.125,23.125,42.1875,22.5,42.1875,285780
2000-12-04,29.0625,29.0625,31.875,19.84375,28.75,235800
2000-12-11,33.125,33.125,48.4375,27.8125,28.75,211210
2000-12-18,29.6875,29.6875,36.875,22.5,34.53125,211000
2000-12-25,30.9375,30.9375,32.5,25.3125,29.375,206150
2001-01-01,31.875,31.875,38.75,30.0,32.1875,113760
2001-01-08,37.5,37.5,40.0,28.75,31.875,122140
2001-01-15,38.4375,38.4375,42.5,35.625,39.6875,93520
2001-01-22,43.125,43.125,46.875,37.5,38.4375,151460
2001-01-29,44.375,44.375,65.0,43.125,45.9375,502400
2001-02-05,40.0,40.0,45.0,37.5,43.4375,96380
2001-02-12,33.4375,33.4375,39.6875,30.3125,37.5,85970
2001-02-19,30.0,30.0,33.4375,29.0625,32.1875,84910
2001-02-26,27.1875,27.1875,33.75,26.25,29.84375,51230
2001-03-05,29.0625,29.0625,32.1875,25.3125,27.5,69380
2001-03-12,28.4375,28.4375,31.875,25.0,28.90625,52410
2001-03-19,25.0,25.0,29.375,22.8125,27.8125,49950
