Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GAIA,GAIA,GAIA,GAIA,GAIA,GAIA
Date,,,,,,
1999-10-25,6.144057273864746,6.375,8.625,5.375,5.5,895000
1999-11-01,6.324765205383301,6.5625,6.9375,6.4375,6.625,427200
1999-11-08,6.264529228210449,6.5,6.75,6.25,6.625,409300
1999-11-15,6.806652069091797,7.0625,7.3125,6.3125,6.5,68700
1999-11-22,10.481039047241211,10.875,10.875,7.0,7.3125,190800
1999-11-29,13.49283218383789,14.0,16.375,10.875,12.0,287200
1999-12-06,16.263681411743164,16.875,18.25,13.875,14.0,162300
1999-12-13,15.902265548706055,16.5,17.75,16.25,17.75,44200
1999-12-20,15.420379638671875,16.0,16.625,15.75,16.5,38500
1999-12-27,15.299907684326172,15.875,16.0625,15.375,15.75,67500
2000-01-03,14.938492774963379,15.5,16.0,15.25,16.0,45200
2000-01-10,15.179435729980469,15.75,16.125,15.125,15.5625,41200
2000-01-17,15.179435729980469,15.75,16.0,15.5,15.9375,33000
2000-01-24,14.456604957580566,15.0,15.75,15.0,15.75,91100
2000-01-31,14.456604957580566,15.0,15.4375,15.0,15.0,36300
2000-02-07,14.215662002563477,14.75,15.25,13.921875,15.0,103200
2000-02-14,14.818020820617676,15.375,16.25,14.75,14.75,57400
2000-02-21,15.661322593688965,16.25,17.125,15.625,16.5,41800
2000-02-28,17.34792709350586,18.0,19.0,16.0,16.0,39700
2000-03-06,16.504623413085938,17.125,19.0,17.125,19.0,16200
2000-03-13,17.106983184814453,17.75,18.5,17.125,17.75,78100
2000-03-20,17.34792709350586,18.0,18.0,17.5,17.75,47800
2000-03-27,16.866039276123047,17.5,18.0,16.9375,17.5625,65600
2000-04-03,16.384153366088867,17.0,20.0,16.875,17.75,38300
2000-04-10,15.420379638671875,16.0,18.5,16.0,17.0,12800
2000-04-17,15.179435729980469,15.75,16.0,15.0,15.75,29800
2000-04-24,18.79358673095703,19.5,19.75,15.0625,15.75,36700
2000-05-01,22.889625549316406,23.75,23.75,19.5,19.5,59100
2000-05-08,22.166793823242188,23.0,24.0,20.0,23.875,43100
2000-05-15,16.384153366088867,17.0,24.0,16.5625,24.0,94600
2000-05-22,17.950284957885742,18.625,19.21875,14.0,14.5,88300
2000-05-29,18.31170082092285,19.0,19.5,18.25,18.625,22700
2000-06-05,18.19122886657715,18.875,19.0,18.0625,19.0,59100
2000-06-12,17.709341049194336,18.375,19.0,18.25,19.0,14200
2000-06-19,18.070756912231445,18.75,19.875,18.375,18.375,85500
2000-06-26,17.82981300354004,18.5,24.6875,16.5,18.5,195900
2000-07-03,16.685333251953125,17.3125,18.75,16.25,18.75,27700
2000-07-10,17.649106979370117,18.3125,19.0,17.75,17.75,61600
2000-07-17,17.34792709350586,18.0,18.25,17.875,18.25,87000
2000-07-24,17.40816307067871,18.0625,18.125,17.8125,17.875,39100
2000-07-31,17.588869094848633,18.25,18.625,17.9375,18.0625,159900
2000-08-07,17.227455139160156,17.875,18.375,17.125,18.375,24200
2000-08-14,16.866039276123047,17.5,18.125,17.0,17.8125,40300
2000-08-21,16.384153366088867,17.0,17.5,16.75,17.5,30900
2000-08-28,17.40816307067871,18.0625,18.125,15.0,16.71875,48300
2000-09-04,15.781793594360352,16.375,18.0,15.8125,18.0,26800
2000-09-11,16.62509536743164,17.25,17.5,16.4375,16.4375,9500
2000-09-18,16.504623413085938,17.125,17.75,16.75,16.8125,33000
2000-09-25,17.649106979370117,18.3125,18.75,17.125,18.0,115800
2000-10-02,16.866039276123047,17.5,18.25,17.5,18.25,14000
2000-10-09,16.384153366088867,17.0,17.6875,16.5,17.5,33200
2000-10-16,15.540851593017578,16.125,17.0,15.0,16.5,38300
2000-10-23,15.661322593688965,16.25,16.25,15.625,16.125,17500
2000-10-30,16.504623413085938,17.125,17.1875,15.4375,16.25,32100
2000-11-06,14.938492774963379,15.5,17.125,15.5,17.125,26000
2000-11-13,15.119199752807617,15.6875,15.875,15.25,15.4375,68200
2000-11-20,15.661322593688965,16.25,16.25,15.75,15.75,22200
2000-11-27,14.516840934753418,15.0625,16.25,14.75,16.125,27100
2000-12-04,14.637312889099121,15.1875,15.3125,14.625,15.125,124100
2000-12-11,15.420379638671875,16.0,17.0,15.125,15.375,44200
2000-12-18,14.878256797790527,15.4375,16.25,15.25,16.125,10500
2000-12-25,14.878256797790527,15.4375,15.5625,15.0,15.375,60700
2001-01-01,13.854248046875,14.375,15.5,14.0,15.5,14600
2001-01-08,13.010945320129395,13.5,14.5,13.25,14.5,27000
2001-01-15,13.97471809387207,14.5,14.734375,13.25,13.5,15500
2001-01-22,13.733776092529297,14.25,15.75,14.25,14.75,17500
2001-01-29,14.095190048217773,14.625,15.0,14.0,14.125,7300
2001-02-05,14.456604957580566,15.0,15.0,14.625,14.875,8500
2001-02-12,12.649530410766602,13.125,15.0,12.5,15.0,33500
2001-02-19,12.288114547729492,12.75,13.5,12.75,13.140625,6800
2001-02-26,11.685755729675293,12.125,12.9375,12.125,12.9375,11100
2001-03-05,11.3243408203125,11.75,13.5,11.625,12.125,119700
2001-03-12,11.083396911621094,11.5,11.875,9.375,11.25,72600
2001-03-19,9.999152183532715,10.375,11.875,9.75,11.390625,19400
2001-03-26,10.481039047241211,10.875,11.125,10.125,10.375,13200
2001-04-02,9.697973251342773,10.0625,10.875,9.625,10.875,18600
2001-04-09,9.541359901428223,9.899999618530273,10.369999885559082,9.75,10.010000228881836,37400
2001-04-16,10.418395042419434,10.8100004196167,11.0,9.850000381469727,10.100000381469727,472300
2001-04-23,10.302741050720215,10.6899995803833,10.8100004196167,10.609999656677246,10.8100004196167,42500
2001-04-30,10.562960624694824,10.960000038146973,11.0600004196167,10.5,10.680000305175781,64600
2001-05-07,10.69788932800293,11.100000381469727,11.850000381469727,11.0,11.100000381469727,88000
2001-05-14,9.791940689086914,10.15999984741211,11.289999961853027,9.430000305175781,11.289999961853027,75800
2001-05-21,10.514771461486816,10.90999984741211,10.90999984741211,10.010000228881836,10.25,24900
2001-05-28,10.582235336303711,10.979999542236328,11.149999618530273,10.380000114440918,10.90999984741211,31600
2001-06-04,13.598847389221191,14.109999656677246,14.529999732971191,10.600000381469727,11.140000343322754,42500
2001-06-11,13.6566743850708,14.170000076293945,16.0,14.0,14.449999809265137,43700
2001-06-18,12.0375337600708,12.489999771118164,14.5,11.699999809265137,14.390000343322754,23700
2001-06-25,13.685586929321289,14.199999809265137,15.100000381469727,12.0,12.5,50300
2001-07-02,13.589210510253906,14.100000381469727,15.289999961853027,14.0,14.270000457763672,41500
2001-07-09,13.502470016479492,14.010000228881836,15.199999809265137,14.010000228881836,14.010000228881836,17800
2001-07-16,14.263851165771484,14.800000190734863,15.130000114440918,13.140000343322754,15.130000114440918,23900
2001-07-23,14.090371131896973,14.619999885559082,15.25,14.600000381469727,14.600000381469727,41800
2001-07-30,15.362552642822266,15.9399995803833,16.329999923706055,14.0,14.8100004196167,1428700
2001-08-06,16.345600128173828,16.959999084472656,17.799999237060547,15.050000190734863,16.1200008392334,935800
2001-08-13,17.35756492614746,18.010000228881836,20.25,16.719999313354492,17.350000381469727,1402600
2001-08-20,16.76002311706543,17.389999389648438,19.56999969482422,16.350000381469727,18.399999618530273,248800
2001-08-27,18.11894416809082,18.799999237060547,18.799999237060547,15.100000381469727,17.15999984741211,343300
2001-09-03,17.155170440673828,17.799999237060547,20.09000015258789,17.0,18.649999618530273,332800
2001-09-10,16.297412872314453,16.90999984741211,17.8799991607666,15.930000305175781,17.649999618530273,79900
2001-09-17,14.360227584838867,14.899999618530273,17.219999313354492,14.25,16.600000381469727,428000
2001-09-24,15.169797897338867,15.739999771118164,15.739999771118164,14.0,14.600000381469727,165100
2001-10-01,14.871028900146484,15.430000305175781,16.450000762939453,15.0,15.25,250000
2001-10-08,14.899941444396973,15.460000038146973,16.350000381469727,14.550000190734863,15.050000190734863,117400
2001-10-15,15.179435729980469,15.75,16.399999618530273,15.25,15.59000015258789,174400
2001-10-22,15.131246566772461,15.699999809265137,16.270000457763672,15.3100004196167,16.0,97400
2001-10-29,15.381828308105469,15.960000038146973,16.5,15.149999618530273,15.800000190734863,256600
2001-11-05,15.18907356262207,15.760000228881836,16.25,15.199999809265137,16.110000610351562,69600
2001-11-12,15.08305835723877,15.649999618530273,15.90999984741211,15.449999809265137,15.819999694824219,95700
2001-11-19,15.005956649780273,15.569999694824219,15.960000038146973,14.449999809265137,15.449999809265137,133100
2001-11-26,14.88066577911377,15.4399995803833,15.899999618530273,14.449999809265137,15.710000038146973,87600
2001-12-03,15.275814056396484,15.850000381469727,15.859999656677246,15.100000381469727,15.350000381469727,184300
2001-12-10,16.88531494140625,17.520000457763672,20.559999465942383,15.75,15.8100004196167,473500
2001-12-17,16.528718948364258,17.149999618530273,19.399999618530273,16.700000762939453,17.68000030517578,186400
2001-12-24,20.383813858032227,21.149999618530273,21.299999237060547,16.81999969482422,16.81999969482422,153600
2001-12-31,21.116283416748047,21.90999984741211,23.809999465942383,21.0,23.549999237060547,787400
2002-01-07,18.31170082092285,19.0,22.190000534057617,17.299999237060547,21.899999618530273,755400
2002-01-14,15.998642921447754,16.600000381469727,19.549999237060547,15.0,19.0,262100
2002-01-21,17.16480827331543,17.809999465942383,18.049999237060547,16.0,16.5,120900
2002-01-28,17.34792709350586,18.0,18.350000381469727,17.329999923706055,17.329999923706055,130800
2002-02-04,16.914226531982422,17.549999237060547,18.0,17.149999618530273,18.0,167100
2002-02-11,16.914226531982422,17.549999237060547,17.940000534057617,17.31999969482422,17.559999465942383,141600
2002-02-18,17.07806968688965,17.719999313354492,18.34000015258789,17.1200008392334,18.079999923706055,74500
2002-02-25,17.23227310180664,17.8799991607666,19.31999969482422,17.5,17.709999084472656,336800
2002-03-04,17.328651428222656,17.979999542236328,18.200000762939453,17.549999237060547,17.709999084472656,103800
2002-03-11,17.743074417114258,18.40999984741211,18.420000076293945,17.799999237060547,17.799999237060547,156300
2002-03-18,17.60814666748047,18.270000457763672,18.75,17.940000534057617,18.399999618530273,296600
2002-03-25,17.743074417114258,18.40999984741211,18.5,17.860000610351562,18.309999465942383,233400
2002-04-01,17.34792709350586,18.0,18.450000762939453,17.899999618530273,18.399999618530273,230300
2002-04-08,16.817852020263672,17.450000762939453,17.920000076293945,15.75,17.90999984741211,195100
