Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GWAV,GWAV,GWAV,GWAV,GWAV,GWAV
Date,,,,,,
2015-04-06,48150.0,48150.0,101250.0,45900.0,101250.0,5
2015-04-13,70650.0,70650.0,70650.0,49050.0,49050.0,20
2015-04-20,61650.0,61650.0,315450.0,54900.0,72000.0,70
2015-04-27,59400.0,59400.0,72000.0,51750.0,63450.0,14
2015-05-04,63000.0,63000.0,69750.0,58050.0,60300.0,7
2015-05-11,61650.0,61650.0,67050.0,59400.0,63000.0,1
2015-05-18,61200.0,61200.0,64350.0,60750.0,61650.0,0
2015-05-25,54450.0,54450.0,63000.0,54000.0,61200.0,1
2015-06-01,59400.0,59400.0,63450.0,49500.0,54450.0,3
2015-06-08,60750.0,60750.0,62550.0,56700.0,62550.0,1
2015-06-15,60300.0,60300.0,62550.0,57600.0,60750.0,1
2015-06-22,61650.0,61650.0,62550.0,58500.0,60300.0,1
2015-06-29,57600.0,57600.0,62100.0,57150.0,59850.0,3
2015-07-06,60750.0,60750.0,62100.0,52200.0,57600.0,2
2015-07-13,53550.0,53550.0,62100.0,51750.0,62100.0,4
2015-07-20,51300.0,51300.0,55800.0,46800.0,53550.0,4
2015-07-27,51750.0,51750.0,59400.0,36180.0,51750.0,11
2015-08-03,50400.0,50400.0,55350.0,40500.0,54000.0,3
2015-08-10,49050.0,49050.0,53100.0,47250.0,50400.0,0
2015-08-17,48600.0,48600.0,49950.0,45000.0,48825.0,1
2015-08-24,52650.0,52650.0,53550.0,45000.0,49050.0,3
2015-08-31,75600.0,75600.0,77400.0,52650.0,52650.0,18
2015-09-07,91800.0,91800.0,105300.0,78750.0,78750.0,40
2015-09-14,85500.0,85500.0,92250.0,81000.0,90450.0,13
2015-09-21,71550.0,71550.0,88200.0,67500.0,85275.0,8
2015-09-28,76950.0,76950.0,81000.0,68400.0,71100.0,7
2015-10-05,75150.0,75150.0,81000.0,72450.0,80550.0,2
2015-10-12,69975.0,69975.0,80550.0,68400.0,74250.0,5
2015-10-19,64350.0,64350.0,70200.0,59400.0,70200.0,5
2015-10-26,69300.0,69300.0,76950.0,55350.0,64350.0,6
2015-11-02,70650.0,70650.0,73800.0,59850.0,69525.0,8
2015-11-09,58950.0,58950.0,77400.0,54450.0,77400.0,9
2015-11-16,47700.0,47700.0,61200.0,46350.0,59175.0,10
2015-11-23,48150.0,48150.0,53100.0,47250.0,47700.0,3
2015-11-30,47250.0,47250.0,51750.0,45450.0,49950.0,3
2015-12-07,44100.0,44100.0,51300.0,38070.0,50400.0,10
2015-12-14,44100.0,44100.0,49050.0,40095.0,44100.0,2
