Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ICU,ICU,ICU,ICU,ICU,ICU
Date,,,,,,
2021-03-15,245.25,245.25,249.3249969482422,244.25,244.25,18212
2021-03-22,245.0,245.0,245.5,241.75,245.5,34368
2021-03-29,245.27499389648438,245.27499389648438,245.52499389648438,244.25,245.0,34204
2021-04-05,246.75,246.75,247.75,245.0,245.25,19264
2021-04-12,248.25,248.25,248.25,246.75,246.875,5952
2021-04-19,247.75,247.75,248.75,247.25,248.25,12292
2021-04-26,248.5,248.5,248.5,247.25,248.5,1800
2021-05-03,248.5,248.5,249.0,247.75,248.5,5884
2021-05-10,246.5,246.5,249.0,246.0,248.3000030517578,852
2021-05-17,244.5,244.5,247.25,244.25,246.0,12648
2021-05-24,247.0,247.0,247.0,244.5,244.5,1908
2021-05-31,247.5,247.5,247.5500030517578,247.0,247.0,660
2021-06-07,248.5,248.5,249.0,247.3249969482422,247.5,3136
2021-06-14,247.25,247.25,249.0,246.22500610351562,248.9499969482422,1556
2021-06-21,247.25,247.25,248.0,245.75,247.75,1632
2021-06-28,247.5,247.5,247.75,246.0,247.375,408
2021-07-05,247.5,247.5,247.5,246.25,247.5,3784
2021-07-12,247.0,247.0,247.5,246.75,247.5,2108
2021-07-19,246.125,246.125,247.1999969482422,245.25,247.0,2128
2021-07-26,245.75,245.75,247.0,245.5,246.0,452
2021-08-02,247.0,247.0,247.39999389648438,245.75,245.75,732
2021-08-09,246.75,246.75,247.0,246.5,246.75,12804
2021-08-16,247.0,247.0,248.0,246.25,246.5,284
2021-08-23,247.5,247.5,248.0,247.0,247.0,936
2021-08-30,248.25,248.25,248.25,247.0,247.25,2664
2021-09-06,248.5,248.5,248.5,247.0,247.25,1224
2021-09-13,249.25,249.25,249.75,248.0,248.5,2228
2021-09-20,250.125,250.125,250.25,248.39999389648438,249.25,2260
2021-09-27,251.0,251.0,251.0,250.0,250.25,6920
2021-10-04,250.5,250.5,251.0,249.5,251.0,12708
2021-10-11,249.5,249.5,250.5,248.0,250.5,3724
2021-10-18,250.0,250.0,253.35000610351562,248.5749969482422,249.5,10340
2021-10-25,249.625,249.625,252.75,249.25,249.5,2108
2021-11-01,250.25,250.25,251.75,249.0,250.25,1568
2021-11-08,250.0,250.0,250.625,249.25,250.5,2220
2021-11-15,250.0,250.0,250.25,249.75,249.75,472
2021-11-22,250.75,250.75,250.75,249.75,249.75,2740
2021-11-29,249.75,249.75,251.75,249.75,250.5,2696
2021-12-06,249.75,249.75,250.5,249.75,250.0,1440
2021-12-13,250.0,250.0,250.0,249.75,249.75,44
2021-12-20,249.75,249.75,251.25,249.75,249.75,4664
2021-12-27,251.0,251.0,251.25,249.75,249.75,5360
2022-01-03,250.25,250.25,251.0,250.25,250.875,444
2022-01-10,250.25,250.25,251.25,249.75,250.5,2612
2022-01-17,250.75,250.75,251.0,250.25,250.25,208
2022-01-24,250.75,250.75,251.125,250.5,250.75,548
2022-01-31,251.5,251.5,251.5,250.25,250.5,5412
2022-02-07,251.5,251.5,251.5,251.25,251.5,4140
2022-02-14,252.0,252.0,252.0,251.5,251.5,196
2022-02-21,252.0,252.0,252.25,251.5,251.5,6876
2022-02-28,252.5,252.5,252.5,251.75,252.0,1344
2022-03-07,252.5,252.5,252.5,251.75,251.75,1552
2022-03-14,252.75,252.75,252.75,252.25,252.75,1480
2022-03-21,252.75,252.75,252.75,252.75,252.75,0
2022-03-28,253.0,253.0,253.0,252.5,252.75,688
2022-04-04,253.5,253.5,253.75,252.5,253.0,696
2022-04-11,253.5,253.5,253.5,253.0,253.0,132
2022-04-18,253.75,253.75,304.0,253.25,253.5,7236
2022-04-25,253.875,253.875,254.0,253.5,253.75,5536
2022-05-02,253.75,253.75,254.0,253.75,253.875,544
2022-05-09,253.0,253.0,254.0,253.0,253.25,3392
2022-05-16,253.0,253.0,253.5,253.0,253.0,72
2022-05-23,253.5,253.5,253.5,253.0,253.0,916
2022-05-30,253.75,253.75,253.75,253.5,253.5,20
2022-06-06,254.0,254.0,254.0,253.75,253.75,24
2022-06-13,253.75,253.75,254.25,253.75,254.25,292
2022-06-20,254.0,254.0,254.0,254.0,254.0,252
2022-06-27,254.25,254.25,254.25,254.0,254.0,1072
2022-07-04,254.47500610351562,254.47500610351562,254.75,254.25,254.25,84
2022-07-11,255.0,255.0,255.0,254.47500610351562,254.47500610351562,272
2022-07-18,255.25,255.25,255.25,254.75,254.97500610351562,1724
2022-07-25,255.5,255.5,255.5,255.25,255.25,9332
2022-08-01,256.25,256.25,256.25,255.5,255.5,768
2022-08-08,255.75,255.75,256.25,255.75,255.75,560
2022-08-15,255.75,255.75,256.25,255.75,256.25,100
2022-08-22,255.5,255.5,255.5,255.5,255.5,40
2022-08-29,254.5,254.5,255.5,254.5,255.5,96
2022-09-05,255.75,255.75,255.75,254.5,254.5,96
2022-09-12,256.5,256.5,256.5,255.75,255.75,656
2022-09-19,256.75,256.75,256.75,256.25,256.25,360
2022-09-26,257.0,257.0,257.25,256.75,256.75,1872
2022-10-03,257.25,257.25,294.5,256.75,257.0,16588
2022-10-10,247.5,247.5,259.0,198.25,257.75,7748
2022-10-17,170.5,170.5,320.0,143.0,240.125,176712
2022-10-24,308.75,308.75,550.0,157.5,165.75,36692
2022-10-31,163.25,163.25,305.0,149.4250030517578,282.5,19012
2022-11-07,141.64999389648438,141.64999389648438,173.5,130.25,163.25,3780
2022-11-14,98.25,98.25,146.5,97.5,137.25,7064
2022-11-21,132.0,132.0,162.5,115.25,157.0,511348
2022-11-28,118.0,118.0,131.75,100.75,128.0,6364
2022-12-05,110.75,110.75,118.75,100.05000305175781,118.25,3204
2022-12-12,108.5,108.5,114.25,104.5,108.5,3356
2022-12-19,99.5,99.5,113.4749984741211,97.5,108.5,5208
2022-12-26,102.5,102.5,125.25,97.5,100.75,12884
2023-01-02,105.0250015258789,105.0250015258789,117.0,88.25,97.82499694824219,8660
2023-01-09,135.0,135.0,158.5,103.75,109.0,25384
2023-01-16,109.5,109.5,139.25,104.75,134.75,12248
2023-01-23,107.5,107.5,114.25,101.75,107.75,11872
2023-01-30,105.0,105.0,120.0,92.0,107.5,17396
2023-02-06,86.625,86.625,147.75,81.75,112.0,454980
2023-02-13,76.0,76.0,87.0999984741211,70.0,86.0,36144
2023-02-20,72.0,72.0,82.25,64.75,77.0,38292
2023-02-27,72.25,72.25,80.5,70.0,73.75,35252
2023-03-06,60.0,60.0,76.5,58.0,72.5,35084
2023-03-13,47.5,47.5,62.5,46.25,57.5,16732
2023-03-20,53.5,53.5,59.25,46.5,47.0,15896
2023-03-27,46.5,46.5,55.25,45.25,53.5,8372
2023-04-03,46.0,46.0,47.625,41.0,46.5,7480
2023-04-10,55.25,55.25,56.5,45.5,49.0,13504
2023-04-17,53.0,53.0,62.5,48.75,53.75,14356
2023-04-24,53.75,53.75,57.0,50.275001525878906,52.5,5008
2023-05-01,49.75,49.75,56.75,46.75,54.75,7484
2023-05-08,20.25,20.25,51.125,20.0,51.0,66552
2023-05-15,15.0,15.0,22.25,14.550000190734863,20.5,1035968
2023-05-22,12.074999809265137,12.074999809265137,16.350000381469727,11.25,14.5,122944
2023-05-29,13.300000190734863,13.300000190734863,14.074999809265137,11.5,11.75,48288
2023-06-05,14.600000381469727,14.600000381469727,15.175000190734863,12.375,12.824999809265137,59996
2023-06-12,13.5,13.5,15.949999809265137,12.0,15.949999809265137,102960
2023-06-19,12.25,12.25,15.574999809265137,10.550000190734863,13.625,111528
2023-06-26,13.0,13.0,14.25,11.875,12.25,44144
2023-07-03,13.524999618530273,13.524999618530273,14.0,11.5,12.600000381469727,42108
2023-07-10,13.574999809265137,13.574999809265137,14.75,13.125,14.125,66192
2023-07-17,12.524999618530273,12.524999618530273,14.0,12.5,13.800000190734863,25072
2023-07-24,12.725000381469727,12.725000381469727,13.75,11.75,13.149999618530273,18216
2023-07-31,11.949999809265137,11.949999809265137,13.175000190734863,11.850000381469727,13.125,21152
2023-08-07,9.5,9.5,12.75,9.024999618530273,12.75,42612
2023-08-14,7.025000095367432,7.025000095367432,10.0,6.75,9.25,60748
2023-08-21,5.949999809265137,5.949999809265137,8.0,5.400000095367432,7.75,86252
2023-08-28,6.275000095367432,6.275000095367432,7.25,5.574999809265137,6.300000190734863,76992
2023-09-04,4.724999904632568,4.724999904632568,6.675000190734863,4.550000190734863,6.675000190734863,75452
2023-09-11,5.400000095367432,5.400000095367432,6.5,4.050000190734863,4.974999904632568,142272
2023-09-18,4.550000190734863,4.550000190734863,5.5,4.5,5.099999904632568,51512
2023-09-25,6.599999904632568,6.599999904632568,9.475000381469727,4.125,4.675000190734863,3288820
2023-10-02,13.399999618530273,13.399999618530273,20.0,7.25,8.175000190734863,13129076
2023-10-09,12.975000381469727,12.975000381469727,16.75,10.149999618530273,12.524999618530273,1498512
2023-10-16,25.5,25.5,31.0,10.649999618530273,12.524999618530273,14611052
2023-10-23,25.5,25.5,29.5,16.25,22.875,3648640
2023-10-30,20.899999618530273,20.899999618530273,31.25,19.0,30.0,3219604
2023-11-06,14.25,14.25,20.725000381469727,13.25,20.0,789136
2023-11-13,13.75,13.75,15.975000381469727,13.274999618530273,14.225000381469727,634296
2023-11-20,9.274999618530273,9.274999618530273,13.800000190734863,9.0,13.75,441576
2023-11-27,13.600000381469727,13.600000381469727,15.25,9.149999618530273,9.324999809265137,878568
2023-12-04,14.0,14.0,14.625,11.5,12.5,438540
2023-12-11,12.625,12.625,14.074999809265137,11.274999618530273,14.0,379028
2023-12-18,11.199999809265137,11.199999809265137,12.625,10.225000381469727,12.5,356164
2023-12-25,11.074999809265137,11.074999809265137,11.5,10.199999809265137,11.300000190734863,313948
