Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IOVA,IOVA,IOVA,IOVA,IOVA,IOVA
Date,,,,,,
2010-10-11,110.0,110.0,110.0,105.0,105.0,1030
2010-10-18,100.0,100.0,110.0,100.0,110.0,282
2010-10-25,110.0,110.0,110.0,100.0,100.0,325
2010-11-01,110.0,110.0,110.0,105.0,106.0,295
2010-11-08,105.0,105.0,110.0,105.0,110.0,35
2010-11-15,96.0,96.0,111.0,95.0,105.0,3265
2010-11-22,96.0,96.0,96.0,96.0,96.0,0
2010-11-29,119.0,119.0,119.0,103.0,110.0,135
2010-12-06,110.0,110.0,116.0,110.0,116.0,61
2010-12-13,120.0,120.0,123.0,118.0,123.0,21
2010-12-20,120.0,120.0,120.0,120.0,120.0,0
2010-12-27,125.0,125.0,125.0,120.0,120.0,50
2011-01-03,125.0,125.0,125.0,125.0,125.0,25
2011-01-10,125.0,125.0,125.0,125.0,125.0,0
2011-01-17,125.0,125.0,125.0,125.0,125.0,0
2011-01-24,125.0,125.0,125.0,125.0,125.0,0
2011-01-31,125.0,125.0,125.0,125.0,125.0,0
2011-02-07,126.0,126.0,126.0,125.0,125.0,10
2011-02-14,126.0,126.0,126.0,126.0,126.0,0
2011-02-21,126.0,126.0,126.0,126.0,126.0,35
2011-02-28,126.0,126.0,126.0,126.0,126.0,0
2011-03-07,111.0,111.0,126.0,110.0,126.0,82
2011-03-14,110.0,110.0,110.0,110.0,110.0,1001
2011-03-21,115.0,115.0,125.0,103.0,110.0,115
2011-03-28,124.0,124.0,126.0,110.0,110.0,12296
2011-04-04,118.0,118.0,121.0,114.0,121.0,1273
2011-04-11,118.0,118.0,125.0,108.0,116.0,2047
2011-04-18,114.0,114.0,118.0,114.0,117.0,1867
2011-04-25,127.0,127.0,127.0,115.0,117.0,515
2011-05-02,123.0,123.0,127.0,115.0,127.0,1389
2011-05-09,126.0,126.0,126.0,123.0,123.0,771
2011-05-16,136.0,136.0,139.0,125.0,130.0,8521
2011-05-23,134.0,134.0,145.0,133.0,142.0,6736
2011-05-30,150.0,150.0,151.0,133.0,140.0,6218
2011-06-06,143.0,143.0,165.0,140.0,152.0,7572
2011-06-13,125.0,125.0,149.0,121.0,149.0,4104
2011-06-20,137.0,137.0,144.0,90.0,120.0,3492
2011-06-27,130.0,130.0,159.0,130.0,142.0,1573
2011-07-04,140.0,140.0,148.0,130.0,145.0,662
2011-07-11,138.0,138.0,143.0,127.0,143.0,799
