Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KOSS,KOSS,KOSS,KOSS,KOSS,KOSS
Date,,,,,,
1980-03-17,0.3504325747489929,0.5972219705581665,0.6527780294418335,0.5277780294418335,0.0,322200
1980-03-24,0.30968478322029114,0.5277780294418335,0.6111109852790833,0.5277780294418335,0.0,63900
1980-03-31,0.3178344964981079,0.5416669845581055,0.5972219705581665,0.5277780294418335,0.5277780294418335,57600
1980-04-07,0.3178344964981079,0.5416669845581055,0.5972219705581665,0.5416669845581055,0.0,11700
1980-04-14,0.30968478322029114,0.5277780294418335,0.5972219705581665,0.5138890147209167,0.5416669845581055,14400
1980-04-21,0.3015351891517639,0.5138890147209167,0.5833330154418945,0.5138890147209167,0.5277780294418335,14400
1980-04-28,0.3015351891517639,0.5138890147209167,0.5694440007209778,0.5138890147209167,0.5138890147209167,18000
1980-05-05,0.3015351891517639,0.5138890147209167,0.5694440007209778,0.5138890147209167,0.5138890147209167,900
1980-05-12,0.29338550567626953,0.5,0.5555559992790222,0.5,0.5138890147209167,10800
1980-05-19,0.27708613872528076,0.4722220003604889,0.5555559992790222,0.4722220003604889,0.0,178200
1980-05-26,0.28523582220077515,0.48611098527908325,0.5416669845581055,0.4722220003604889,0.4722220003604889,9000
1980-06-02,0.27708613872528076,0.4722220003604889,0.5277780294418335,0.4722220003604889,0.48611098527908325,30600
1980-06-09,0.27708613872528076,0.4722220003604889,0.5277780294418335,0.4722220003604889,0.4722220003604889,25200
1980-06-16,0.27708613872528076,0.4722220003604889,0.5277780294418335,0.4722220003604889,0.4722220003604889,50400
1980-06-23,0.28523582220077515,0.48611098527908325,0.5416669845581055,0.4722220003604889,0.4722220003604889,15300
1980-06-30,0.28523582220077515,0.48611098527908325,0.5416669845581055,0.48611098527908325,0.48611098527908325,1800
1980-07-07,0.29338550567626953,0.5,0.5416669845581055,0.48611098527908325,0.0,56700
1980-07-14,0.3830311894416809,0.6527780294418335,0.6666669845581055,0.5277780294418335,0.0,161100
1980-07-21,0.36673176288604736,0.625,0.6944440007209778,0.625,0.0,128700
1980-07-28,0.4482279419898987,0.7638890147209167,0.7916669845581055,0.6388890147209167,0.0,252900
1980-08-04,0.4889755845069885,0.8333330154418945,0.8611109852790833,0.7638890147209167,0.0,322200
1980-08-11,0.48082593083381653,0.8194440007209778,0.8472219705581665,0.7638890147209167,0.0,127800
1980-08-18,0.4726769030094147,0.8055559992790222,0.8472219705581665,0.8055559992790222,0.0,117900
1980-08-25,0.4889755845069885,0.8333330154418945,0.8611109852790833,0.8194440007209778,0.0,125100
1980-09-01,0.562322199344635,0.9583330154418945,0.9861109852790833,0.8472219705581665,0.0,222300
1980-09-08,0.562322199344635,0.9583330154418945,1.013888955116272,0.9583330154418945,0.0,102600
1980-09-15,0.562322199344635,0.9583330154418945,1.0,0.9583330154418945,0.0,138600
1980-09-22,0.5786212086677551,0.9861109852790833,1.0277780294418335,0.9583330154418945,0.0,108000
1980-09-29,0.562322199344635,0.9583330154418945,0.9861109852790833,0.9444440007209778,0.0,57600
1980-10-06,0.5786212086677551,0.9861109852790833,1.0277780294418335,0.9444440007209778,0.0,123300
1980-10-13,0.5786212086677551,0.9861109852790833,1.0277780294418335,0.9861109852790833,0.0,30600
1980-10-20,0.562322199344635,0.9583330154418945,1.0,0.9444440007209778,0.0,32400
1980-10-27,0.5012003779411316,0.8541669845581055,0.9583330154418945,0.8541669845581055,0.0,120300
1980-11-03,0.5012003779411316,0.8541669845581055,0.9166669845581055,0.8541669845581055,0.0,222600
1980-11-10,0.5012003779411316,0.8541669845581055,0.8958330154418945,0.8541669845581055,0.0,171000
1980-11-17,0.4889755845069885,0.8333330154418945,0.875,0.8333330154418945,0.0,84000
1980-11-24,0.4889755845069885,0.8333330154418945,0.875,0.8333330154418945,0.8333330154418945,43200
1980-12-01,0.5134247541427612,0.875,0.8958330154418945,0.8125,0.0,60600
1980-12-08,0.5134247541427612,0.875,0.9166669845581055,0.8333330154418945,0.0,76800
1980-12-15,0.5378736257553101,0.9166669845581055,1.0,0.9166669845581055,0.0,126600
1980-12-22,0.5134247541427612,0.875,0.9583330154418945,0.875,0.0,39000
1980-12-29,0.5012003779411316,0.8541669845581055,0.9166669845581055,0.8541669845581055,0.0,93600
1981-01-05,0.4645273983478546,0.7916669845581055,0.9375,0.7916669845581055,0.7916669845581055,124200
1981-01-12,0.4889755845069885,0.8333330154418945,0.875,0.7916669845581055,0.0,63600
1981-01-19,0.5378736257553101,0.9166669845581055,0.9375,0.8333330154418945,0.0,68400
1981-01-26,0.562322199344635,0.9583330154418945,1.0,0.9166669845581055,0.0,108600
1981-02-02,0.6112200617790222,1.0416669845581055,1.0625,1.0,0.0,172200
1981-02-09,0.562322199344635,0.9583330154418945,1.0625,0.9583330154418945,0.0,65400
1981-02-16,0.5378736257553101,0.9166669845581055,1.0208330154418945,0.9166669845581055,0.0,125400
1981-02-23,0.5745468139648438,0.9791669845581055,1.0416669845581055,0.9166669845581055,0.0,93600
1981-03-02,0.5867710113525391,1.0,1.0625,0.9791669845581055,0.0,95400
1981-03-09,0.5500974655151367,0.9375,1.0416669845581055,0.9166669845581055,0.0,58200
1981-03-16,0.5256485939025879,0.8958330154418945,0.9791669845581055,0.8958330154418945,0.0,94800
1981-03-23,0.6234440803527832,1.0625,1.0833330154418945,0.8958330154418945,0.0,308400
1981-03-30,0.6845662593841553,1.1666669845581055,1.2083330154418945,1.1458330154418945,0.0,375600
1981-04-06,0.6356684565544128,1.0833330154418945,1.2083330154418945,1.0833330154418945,0.0,150600
1981-04-13,0.74568772315979,1.2708330154418945,1.3125,1.1041669845581055,0.0,249000
1981-04-20,0.8190338015556335,1.3958330154418945,1.4375,1.25,0.0,232800
1981-04-27,0.8923806548118591,1.5208330154418945,1.5833330154418945,1.4166669845581055,0.0,282000
