Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KSS,KSS,KSS,KSS,KSS,KSS
Date,,,,,,
1992-05-18,1.0332587957382202,1.90625,1.90625,1.65625,1.75,23983200
1992-05-25,1.0586665868759155,1.953125,1.984375,1.84375,1.90625,2180000
1992-06-01,1.0756052732467651,1.984375,2.0625,1.953125,1.96875,4959200
1992-06-08,1.0671359300613403,1.96875,2.0,1.875,1.984375,2757600
1992-06-15,1.041728138923645,1.921875,2.015625,1.90625,1.9375,1826400
1992-06-22,1.1010133028030396,2.03125,2.03125,1.890625,1.9375,4992000
1992-06-29,1.2534611225128174,2.3125,2.390625,2.046875,2.046875,4120000
1992-07-06,1.338154911994934,2.46875,2.46875,2.203125,2.328125,5436800
1992-07-13,1.270400047302246,2.34375,2.46875,2.296875,2.46875,1779200
1992-07-20,1.2111146450042725,2.234375,2.34375,2.21875,2.34375,1885600
1992-07-27,1.3127472400665283,2.421875,2.421875,2.21875,2.265625,3460000
1992-08-03,1.47366464138031,2.71875,2.734375,2.421875,2.421875,2317600
1992-08-10,1.4313178062438965,2.640625,2.8125,2.53125,2.71875,2196800
1992-08-17,1.47366464138031,2.71875,2.78125,2.625,2.625,1262400
1992-08-24,1.4651949405670166,2.703125,2.75,2.53125,2.6875,804800
1992-08-31,1.5837651491165161,2.921875,3.125,2.703125,2.734375,2729600
1992-09-07,1.643051028251648,3.03125,3.15625,2.953125,2.96875,1562400
1992-09-14,1.6769282817840576,3.09375,3.125,3.015625,3.0625,792000
1992-09-21,1.6599894762039185,3.0625,3.125,3.0625,3.09375,1285600
1992-09-28,1.6007041931152344,2.953125,3.046875,2.59375,3.046875,2677600
1992-10-05,1.6091734170913696,2.96875,3.03125,2.65625,2.921875,1801600
1992-10-12,1.651519775390625,3.046875,3.09375,2.96875,3.0,193600
1992-10-19,1.7192754745483398,3.171875,3.34375,3.0,3.015625,840000
1992-10-26,1.7446831464767456,3.21875,3.46875,3.1875,3.203125,1264000
1992-11-02,2.0241713523864746,3.734375,3.78125,3.25,3.25,2208800
1992-11-09,2.0665175914764404,3.8125,4.0,3.59375,3.703125,4683200
1992-11-16,2.1342718601226807,3.9375,4.0,3.796875,3.84375,1177600
1992-11-23,2.0241713523864746,3.734375,3.953125,3.5625,3.953125,908800
1992-11-30,1.9140698909759521,3.53125,3.796875,3.421875,3.75,1443200
1992-12-07,2.04957914352417,3.78125,3.78125,3.625,3.625,892800
1992-12-14,1.9987632036209106,3.6875,3.859375,3.671875,3.796875,536000
1992-12-21,1.9564166069030762,3.609375,3.671875,3.59375,3.671875,455200
1992-12-28,2.032640218734741,3.75,3.75,3.59375,3.640625,382400
1993-01-04,1.8971314430236816,3.5,3.734375,3.5,3.734375,2604000
1993-01-11,2.1342718601226807,3.9375,3.9375,3.265625,3.515625,2367200
1993-01-18,2.117333173751831,3.90625,4.125,3.828125,3.96875,1488000
1993-01-25,2.3544745445251465,4.34375,4.359375,3.875,3.875,21658400
1993-02-01,2.5069222450256348,4.625,4.65625,4.28125,4.3125,8383200
1993-02-08,2.388352394104004,4.40625,4.6875,4.359375,4.625,2329600
1993-02-15,2.3290674686431885,4.296875,4.375,3.96875,4.375,2464800
1993-02-22,2.3714137077331543,4.375,4.375,3.875,4.296875,2622400
1993-03-01,2.422229290008545,4.46875,4.640625,4.390625,4.390625,1470400
1993-03-08,2.498453378677368,4.609375,4.65625,4.46875,4.5,1378400
1993-03-15,2.591616630554199,4.78125,4.875,4.625,4.625,1316800
1993-03-22,2.46457576751709,4.546875,4.796875,4.5,4.796875,655200
1993-03-29,2.6085546016693115,4.8125,5.03125,4.5,4.546875,2640800
1993-04-05,2.6254944801330566,4.84375,4.875,4.6875,4.84375,1688800
1993-04-12,2.5069222450256348,4.625,5.0,4.484375,4.84375,2793600
1993-04-19,2.3544745445251465,4.34375,4.625,4.1875,4.625,7497600
1993-04-26,2.3460052013397217,4.328125,4.421875,4.3125,4.34375,4339200
1993-05-03,2.6254944801330566,4.84375,4.875,4.3125,4.328125,3847200
1993-05-10,2.6254944801330566,4.84375,5.0625,4.84375,4.875,2357600
1993-05-17,2.5746777057647705,4.75,4.90625,4.71875,4.875,972000
1993-05-24,2.6254944801330566,4.84375,4.890625,4.734375,4.75,2032000
1993-05-31,2.4137604236602783,4.453125,4.84375,4.25,4.828125,8416000
1993-06-07,2.5069222450256348,4.625,4.65625,4.4375,4.453125,3355200
1993-06-14,2.52386212348938,4.65625,4.734375,4.578125,4.59375,1476800
1993-06-21,2.4899837970733643,4.59375,4.6875,4.46875,4.65625,2387200
1993-06-28,2.5069222450256348,4.625,4.71875,4.53125,4.59375,2461600
1993-07-05,2.4137604236602783,4.453125,4.609375,4.40625,4.59375,4280000
1993-07-12,2.5069222450256348,4.625,4.625,4.4375,4.4375,1586400
1993-07-19,2.473045587539673,4.5625,4.6875,4.53125,4.59375,588800
1993-07-26,2.4476382732391357,4.515625,4.625,4.484375,4.53125,552000
1993-08-02,2.7017180919647217,4.984375,5.0,4.546875,4.546875,1956000
1993-08-09,2.684778928756714,4.953125,5.09375,4.9375,4.984375,1600800
