Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MOS,MOS,MOS,MOS,MOS,MOS
Date,,,,,,
1988-01-25,7.318613529205322,12.25,12.5625,11.25,11.5,14412400
1988-02-01,7.393290042877197,12.375,12.625,11.8125,12.125,2981800
1988-02-08,7.6173272132873535,12.75,12.8125,11.875,12.125,1463400
1988-02-15,8.5134859085083,14.25,14.625,12.8125,12.8125,3099800
1988-02-22,8.438804626464844,14.125,14.25,13.75,14.125,2047200
1988-02-29,9.260279655456543,15.5,15.5,14.1875,14.25,2085800
1988-03-07,8.662847518920898,14.5,16.0625,14.0,15.25,1801200
1988-03-14,9.267494201660156,15.4375,16.125,14.5625,14.625,1334200
1988-03-21,8.517085075378418,14.1875,15.375,14.0,15.375,1649000
1988-03-28,9.042365074157715,15.0625,15.125,13.8125,13.8125,742400
1988-04-04,9.605168342590332,16.0,16.0,14.9375,15.0,840800
1988-04-11,8.85477066040039,14.75,16.0,14.375,15.9375,982200
1988-04-18,8.929804801940918,14.875,15.125,14.0,14.75,1363800
1988-04-25,8.85477066040039,14.75,15.625,14.5,15.0,633400
1988-05-02,8.70468807220459,14.5,15.0625,14.5,14.6875,1056200
1988-05-09,8.70468807220459,14.5,14.625,13.25,14.625,824000
1988-05-16,8.70468807220459,14.5,14.75,14.125,14.4375,452200
1988-05-23,8.554603576660156,14.25,14.4375,14.0625,14.375,822600
1988-05-30,9.380050659179688,15.625,16.0,14.0,14.125,1081400
1988-06-06,10.243014335632324,17.0625,17.3125,15.5,15.5,1612600
1988-06-13,11.181020736694336,18.625,20.0,17.0,17.0,2084400
1988-06-20,12.503461837768555,20.6875,21.625,18.5,18.625,2661400
1988-06-27,12.012380599975586,19.875,20.6875,19.3125,20.6875,1506400
1988-07-04,12.465686798095703,20.625,21.25,19.9375,19.9375,1935200
1988-07-11,12.57900619506836,20.8125,21.25,19.625,20.5625,992000
1988-07-18,11.332437515258789,18.75,20.75,18.6875,20.625,3904800
1988-07-25,11.294671058654785,18.6875,18.9375,17.75,18.8125,1321800
1988-08-01,11.861292839050293,19.625,20.0,18.3125,18.8125,1966800
1988-08-08,11.596869468688965,19.1875,20.0,18.5,19.5,1010600
