Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NAD,NAD,NAD,NAD,NAD,NAD
Date,,,,,,
1999-05-24,3.3408424854278564,15.0625,15.0625,15.0,15.0,673700
1999-05-31,3.326982021331787,15.0,15.0625,15.0,15.0,197000
1999-06-07,3.326982021331787,15.0,15.0625,15.0,15.0,250800
1999-06-14,3.3408424854278564,15.0625,15.0625,15.0,15.0,377900
1999-06-21,3.3408424854278564,15.0625,15.125,15.0,15.0625,260000
1999-06-28,3.3408424854278564,15.0625,15.125,15.0,15.0,175400
1999-07-05,3.3408424854278564,15.0625,15.0625,15.0,15.0625,177600
1999-07-12,3.3408424854278564,15.0625,15.0625,15.0,15.0,206000
1999-07-19,3.326982021331787,15.0,15.0625,14.875,15.0625,284300
1999-07-26,3.343477964401245,15.0,15.0625,14.9375,15.0,209200
1999-08-02,3.3574066162109375,15.0625,15.0625,15.0,15.0625,195700
1999-08-09,3.2877519130706787,14.75,15.0625,14.6875,15.0,195800
1999-08-16,3.304185152053833,14.75,14.9375,14.6875,14.8125,199300
1999-08-23,3.290184736251831,14.6875,14.9375,14.625,14.8125,216300
1999-08-30,3.2761831283569336,14.625,14.75,14.3125,14.75,316200
1999-09-06,3.290184736251831,14.6875,14.875,14.5625,14.5625,176000
1999-09-13,3.248182773590088,14.5,14.75,14.375,14.6875,120400
1999-09-20,3.208345890045166,14.25,14.6875,14.25,14.5,279800
1999-09-27,3.250558614730835,14.4375,14.5,14.25,14.25,279400
1999-10-04,3.2646303176879883,14.5,14.625,14.375,14.4375,183700
1999-10-11,3.1520605087280273,14.0,14.625,13.9375,14.5,184400
1999-10-18,2.9983696937561035,13.25,13.9375,13.25,13.9375,303100
1999-10-25,3.0832293033599854,13.625,13.625,13.0625,13.3125,419700
1999-11-01,3.02665638923645,13.375,13.9375,13.25,13.75,401300
1999-11-08,2.9276530742645264,12.9375,13.5,12.875,13.375,579400
1999-11-15,2.9723081588745117,13.0625,13.0625,12.5,13.0,893100
1999-11-22,2.872755527496338,12.625,12.9375,12.4375,12.9375,501100
1999-11-29,2.929644823074341,12.875,12.875,12.4375,12.625,843300
1999-12-06,2.8443140983581543,12.5,12.8125,11.9375,12.75,1018200
1999-12-13,2.830092668533325,12.4375,12.625,11.9375,12.5625,1467900
1999-12-20,2.818333148956299,12.3125,12.5625,11.75,12.4375,1162500
1999-12-27,2.7754154205322266,12.125,12.625,11.6875,12.5,1675700
2000-01-03,2.9470901489257812,12.875,12.9375,12.0,12.1875,487100
