Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PFC,PFC,PFC,PFC,PFC,PFC
Date,,,,,,
1993-07-19,2.5246710777282715,6.875,7.0,6.375,6.375,764000
1993-07-26,2.570574998855591,7.0,7.125,6.875,7.0,158600
1993-08-02,2.4787683486938477,6.75,7.0,6.75,7.0,164000
1993-08-09,2.4099135398864746,6.5625,6.875,6.5,6.75,351400
1993-08-16,2.4787683486938477,6.75,6.75,6.5,6.5,111800
1993-08-23,2.455817461013794,6.6875,6.75,6.5,6.75,319400
1993-08-30,2.4328651428222656,6.625,6.75,6.5,6.75,284400
1993-09-06,2.5246710777282715,6.875,6.875,6.5,6.625,202400
1993-09-13,2.5935261249542236,7.0625,7.125,6.5,6.5,138000
1993-09-20,2.6623809337615967,7.25,7.25,6.875,6.875,124800
1993-09-27,2.8000903129577637,7.625,7.75,7.0,7.25,160400
1993-10-04,2.845993757247925,7.75,7.75,7.5,7.625,195600
1993-10-11,2.8695144653320312,7.75,7.75,7.5,7.5,31200
1993-10-18,2.7769479751586914,7.5,7.75,7.375,7.5,101400
1993-10-25,2.8232312202453613,7.625,7.75,7.5,7.5,45000
1993-11-01,2.684384346008301,7.25,7.75,7.25,7.6875,79200
1993-11-08,2.730665922164917,7.375,7.5,7.375,7.5,10800
1993-11-15,2.684384346008301,7.25,7.625,7.0,7.4375,20200
1993-11-22,2.5918192863464355,7.0,7.25,7.0,7.25,2200
1993-11-29,2.499253988265991,6.75,7.125,6.75,7.125,75200
1993-12-06,2.499253988265991,6.75,7.0,6.5,6.75,40400
1993-12-13,2.4529707431793213,6.625,6.875,6.625,6.75,30800
1993-12-20,2.4529707431793213,6.625,7.0,6.625,6.625,16600
1993-12-27,2.568676471710205,6.9375,6.9375,6.625,6.875,41200
1994-01-03,2.568676471710205,6.9375,7.125,6.75,6.9375,10200
1994-01-10,2.667198657989502,7.125,7.125,6.75,6.75,4600
1994-01-17,2.667198657989502,7.125,7.125,6.75,7.125,800
1994-01-24,2.713991641998291,7.25,7.25,6.75,6.75,12200
1994-01-31,2.6204051971435547,7.0,7.25,6.875,7.25,8400
1994-02-07,2.5736117362976074,6.875,7.125,6.75,6.75,54000
1994-02-14,2.5736117362976074,6.875,7.125,6.875,6.875,15600
1994-02-21,2.6204051971435547,7.0,7.0,6.875,7.0,26200
1994-02-28,2.6204051971435547,7.0,7.0,6.875,6.9375,34800
1994-03-07,2.5268185138702393,6.75,6.875,6.75,6.875,20000
1994-03-14,2.5736117362976074,6.875,7.0,6.75,6.75,16400
