Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PHUN,PHUN,PHUN,PHUN,PHUN,PHUN
Date,,,,,,
2016-10-24,494.0,494.0,494.0,494.0,494.0,10
2016-10-31,494.0,494.0,494.0,494.0,494.0,0
2016-11-07,494.0,494.0,496.25,494.0,494.0,50
2016-11-14,495.5,495.5,495.5,494.0,494.0,100
2016-11-21,497.5,497.5,497.5,495.5,495.5,218
2016-11-28,500.0,500.0,500.0,497.5,497.5,36
2016-12-05,495.0,495.0,500.0,495.0,500.0,44
2016-12-12,497.5,497.5,497.5,495.0,495.0,268
2016-12-19,500.0,500.0,500.0,497.5,497.5,10
2016-12-26,500.0,500.0,500.0,500.0,500.0,20
2017-01-02,501.0,501.0,501.0,500.0,500.0,22
2017-01-09,500.5,500.5,502.0,500.0,502.0,830
2017-01-16,500.5,500.5,500.5,500.5,500.5,0
2017-01-23,508.0,508.0,508.0,500.5,500.5,1300
2017-01-30,500.5,500.5,508.0,500.5,508.0,28
2017-02-06,500.5,500.5,500.5,500.5,500.5,0
2017-02-13,500.5,500.5,500.5,500.5,500.5,0
2017-02-20,500.0,500.0,500.5,500.0,500.5,60
2017-02-27,500.0,500.0,500.0,500.0,500.0,0
2017-03-06,509.0,509.0,509.0,500.0,500.0,28760
2017-03-13,510.0,510.0,510.0,506.0,506.0,144
2017-03-20,510.0,510.0,510.0,510.0,510.0,4
2017-03-27,509.0,509.0,510.0,502.5,510.0,102
2017-04-03,510.0,510.0,510.0,502.5,509.0,202
2017-04-10,510.0,510.0,510.0,510.0,510.0,0
2017-04-17,510.0,510.0,510.0,504.20001220703125,510.0,42
2017-04-24,509.5,509.5,510.0,506.0,510.0,146
2017-05-01,509.5,509.5,509.5,509.5,509.5,0
2017-05-08,509.5,509.5,509.5,509.5,509.5,0
2017-05-15,509.5,509.5,509.5,509.5,509.5,0
2017-05-22,501.5,501.5,509.5,500.0,509.5,122
2017-05-29,501.5,501.5,501.5,501.5,501.5,0
2017-06-05,501.5,501.5,501.5,501.5,501.5,2
2017-06-12,500.5,500.5,502.5,500.5,501.5,26
2017-06-19,502.5,502.5,502.5,500.0,500.5,110
2017-06-26,502.3500061035156,502.3500061035156,505.5,499.5,500.0,552
2017-07-03,505.0,505.0,506.0,504.25,504.25,878
2017-07-10,503.0,503.0,505.0,500.0,505.0,2254
2017-07-17,502.5,502.5,503.0,502.5,503.0,28
2017-07-24,500.0,500.0,501.0,500.0,501.0,8
2017-07-31,502.5,502.5,502.5,500.0,502.0,272
2017-08-07,502.5,502.5,502.5,502.5,502.5,0
2017-08-14,510.0,510.0,512.5,500.0,502.5,6042
2017-08-21,508.5,508.5,513.7000122070312,508.5,513.7000122070312,666
2017-08-28,512.0,512.0,514.0,510.0,510.0,164
2017-09-04,505.25,505.25,511.0,505.25,511.0,8
2017-09-11,511.0,511.0,511.0,502.5,502.5,170
2017-09-18,509.0,509.0,511.0,509.0,511.0,36
2017-09-25,508.5,508.5,510.5,504.0,509.0,400
2017-10-02,508.5,508.5,508.5,505.5,508.5,3472
2017-10-09,508.5,508.5,508.5,508.5,508.5,366
2017-10-16,510.5,510.5,510.5,508.5,508.5,12
2017-10-23,511.5,511.5,511.5,508.75,510.95001220703125,54
2017-10-30,511.5,511.5,511.5,511.5,511.5,0
2017-11-06,511.5,511.5,511.5,511.5,511.5,0
2017-11-13,500.5,500.5,511.5,500.5,511.5,2
2017-11-20,511.5,511.5,511.5,505.5,509.5,20
2017-11-27,507.5,507.5,510.5,507.5,509.5,3936
2017-12-04,508.5,508.5,512.0,507.5,507.5,1008
2017-12-11,507.0,507.0,509.0,503.5,509.0,108
2017-12-18,509.5,509.5,509.5,507.0,507.0,10
2017-12-25,510.5,510.5,510.5,509.5,509.5,190
2018-01-01,512.5,512.5,512.5,508.5,510.0,4048
2018-01-08,512.5,512.5,512.5,512.5,512.5,4
2018-01-15,510.04998779296875,510.04998779296875,512.5,508.5,512.5,204
2018-01-22,512.5,512.5,512.5,509.0,510.5,768
2018-01-29,514.0,514.0,514.0,512.0,512.5,64
2018-02-05,512.0,512.0,512.0,512.0,512.0,398
2018-02-12,509.0,509.0,512.0,509.0,512.0,56
2018-02-19,512.5,512.5,512.5,509.0,509.0,24
2018-02-26,514.5,514.5,524.5,512.0,512.5,17584
2018-03-05,517.5,517.5,520.0,514.2000122070312,517.4000244140625,260
2018-03-12,517.5,517.5,518.0,514.0,515.0,164
2018-03-19,516.0,516.0,517.0,515.0,516.5,25802
2018-03-26,517.5,517.5,518.0,516.0,518.0,586
2018-04-02,517.0,517.0,518.0,515.5,517.5,850
2018-04-09,517.0,517.0,518.0,516.0,516.5,828
2018-04-16,517.0,517.0,517.0,516.0,517.0,1270
2018-04-23,517.5,517.5,519.5,512.5,516.5,1740
2018-04-30,515.0,515.0,517.5,515.0,515.5,28
2018-05-07,517.0,517.0,517.9000244140625,500.0,513.5,608
2018-05-14,518.5,518.5,519.5,517.0,517.5,492
2018-05-21,518.0,518.0,520.0,518.0,518.0,268
2018-05-28,519.0,519.0,521.5,518.0,518.0,108
2018-06-04,522.0,522.0,524.0,518.5,519.0,64
2018-06-11,520.0,520.0,522.0,518.5,519.5,154
2018-06-18,522.0,522.0,522.0,520.0,520.0,14
2018-06-25,519.0,519.0,522.0,519.0,522.0,2
2018-07-02,520.0,520.0,520.0,519.0,519.0,22
2018-07-09,521.5,521.5,522.0,520.0,520.0,8
2018-07-16,522.0,522.0,522.0,522.0,522.0,186
2018-07-23,522.0,522.0,522.0,520.9500122070312,520.9500122070312,12
2018-07-30,521.0,521.0,521.7999877929688,521.0,521.7999877929688,40
2018-08-06,521.5,521.5,524.0,518.0,521.0,2236
2018-08-13,521.5,521.5,525.0,521.5,521.5,78
2018-08-20,550.0,550.0,550.0,521.0,538.0,64
2018-08-27,522.5,522.5,535.75,521.5,535.75,170
2018-09-03,525.0,525.0,525.0,522.5,522.5,10
2018-09-10,525.0,525.0,527.0999755859375,525.0,525.0,2132
2018-09-17,525.0,525.0,529.0,525.0,525.0,42
2018-09-24,525.0,525.0,528.2000122070312,524.5499877929688,528.2000122070312,70
2018-10-01,525.0,525.0,535.0,458.0,535.0,236
2018-10-08,525.0,525.0,530.0,525.0,525.0,84
2018-10-15,525.0,525.0,525.0,522.5,525.0,18
2018-10-22,525.0,525.0,525.0,525.0,525.0,18
2018-10-29,525.0,525.0,525.0,525.0,525.0,20
2018-11-05,503.5,503.5,525.0,503.5,525.0,2
2018-11-12,503.5,503.5,503.5,503.5,503.5,0
2018-11-19,529.9500122070312,529.9500122070312,529.9500122070312,503.5,503.5,12
2018-11-26,502.5,502.5,529.9500122070312,502.5,529.9500122070312,6
2018-12-03,532.0,532.0,535.0,477.25,502.5,50
2018-12-10,525.0,525.0,525.0,500.0,500.0,12
2018-12-17,525.0,525.0,525.0,525.0,525.0,0
2018-12-24,542.0,542.0,642.5,507.5,525.0,182
2018-12-31,2703.0,2703.0,4112.5,570.2000122070312,570.2000122070312,734
2019-01-07,4553.0,4553.0,27500.0,3000.0,3000.0,1410
2019-01-14,7450.0,7450.0,10000.0,4800.0,4800.0,546
2019-01-21,5500.0,5500.0,6520.5,3800.0,6520.5,710
2019-01-28,15420.0,15420.0,16500.0,5933.0,5981.64990234375,592
2019-02-04,6075.0,6075.0,13051.5,5737.5,10010.0,900
2019-02-11,2000.0,2000.0,6250.0,1750.0,6199.75,2144
2019-02-18,1925.0,1925.0,2765.0,1721.300048828125,2050.0,2498
2019-02-25,1387.25,1387.25,2025.0,1331.75,1975.0,1244
