Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PNRG,PNRG,PNRG,PNRG,PNRG,PNRG
Date,,,,,,
1980-03-17,8.875,8.875,10.0,8.875,0.0,29100
1980-03-24,10.0,10.0,10.5,7.375,0.0,83000
1980-03-31,9.5,9.5,10.25,9.5,0.0,11500
1980-04-07,8.75,8.75,9.5,8.375,0.0,25500
1980-04-14,7.375,7.375,9.125,7.375,0.0,25400
1980-04-21,8.125,8.125,8.625,7.375,0.0,62500
1980-04-28,7.875,7.875,8.75,7.875,0.0,27500
1980-05-05,8.5,8.5,9.125,8.5,0.0,17200
1980-05-12,9.25,9.25,9.75,8.5,0.0,17000
1980-05-19,9.5,9.5,10.0,9.375,0.0,16800
1980-05-26,9.25,9.25,10.0,9.25,0.0,16500
1980-06-02,9.125,9.125,9.875,9.125,0.0,7400
1980-06-09,8.75,8.75,9.625,8.75,0.0,21100
1980-06-16,8.25,8.25,9.25,8.25,0.0,9000
1980-06-23,8.375,8.375,8.875,8.0,0.0,11900
1980-06-30,8.5,8.5,9.0,8.375,0.0,17100
1980-07-07,9.0,9.0,9.25,8.875,0.0,29300
1980-07-14,10.375,10.375,10.625,9.375,0.0,45600
1980-07-21,9.75,9.75,10.5,9.75,0.0,19900
1980-07-28,9.125,9.125,9.875,9.0,0.0,20000
1980-08-04,9.0,9.0,9.375,9.0,0.0,43400
1980-08-11,9.25,9.25,9.5,9.125,0.0,18200
1980-08-18,9.375,9.375,9.625,9.25,0.0,17200
1980-08-25,9.25,9.25,9.625,9.25,0.0,16200
1980-09-01,11.0,11.0,11.25,9.375,0.0,31600
1980-09-08,11.75,11.75,12.0,11.25,0.0,66600
1980-09-15,11.625,11.625,12.5,11.625,0.0,37300
1980-09-22,11.5,11.5,12.0,11.5,0.0,17800
1980-09-29,11.5,11.5,11.875,11.0,0.0,28800
1980-10-06,12.5,12.5,12.875,11.5,0.0,49700
1980-10-13,14.0,14.0,14.875,13.25,0.0,86600
1980-10-20,13.375,13.375,14.0,13.25,0.0,34700
1980-10-27,13.25,13.25,14.125,13.25,0.0,29500
1980-11-03,12.875,12.875,13.75,12.875,0.0,9400
