Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SIM,SIM,SIM,SIM,SIM,SIM
Date,,,,,,
1993-06-28,12.829797744750977,13.75,14.0,13.5,14.0,1006700
1993-07-05,13.063066482543945,14.0,14.0,13.75,14.0,110300
1993-07-12,12.713163375854492,13.625,14.125,13.625,14.0,150800
1993-07-19,12.596529006958008,13.5,13.625,13.375,13.625,136500
1993-07-26,12.479894638061523,13.375,13.75,13.375,13.5,101400
1993-08-02,12.596529006958008,13.5,13.75,13.25,13.625,48700
1993-08-09,12.713163375854492,13.625,13.625,13.125,13.375,43900
1993-08-16,14.46268081665039,15.5,15.875,13.375,13.5,446300
1993-08-23,15.97892951965332,17.125,17.625,15.25,15.5,422500
1993-08-30,15.629026412963867,16.75,17.125,16.375,17.125,161700
1993-09-06,15.395757675170898,16.5,17.0,16.5,16.75,116500
1993-09-13,15.045853614807129,16.125,16.5,16.0,16.5,148000
1993-09-20,15.045853614807129,16.125,16.5,16.0,16.25,145700
1993-09-27,15.279122352600098,16.375,16.375,16.0,16.0,43000
1993-10-04,16.328832626342773,17.5,17.5,16.25,16.25,73100
1993-10-11,17.26190948486328,18.5,18.75,17.5,17.75,91800
1993-10-18,17.26190948486328,18.5,18.75,17.5,18.625,70000
1993-10-25,16.912006378173828,18.125,19.75,18.125,18.75,85300
1993-11-01,16.562103271484375,17.75,18.125,17.5,17.875,123500
1993-11-08,17.49517822265625,18.75,19.0,17.0,17.5,128900
1993-11-15,18.428255081176758,19.75,20.0,18.375,18.625,214700
1993-11-22,20.061138153076172,21.5,21.5,19.625,19.75,38200
1993-11-29,21.460752487182617,23.0,23.125,21.5,21.625,72700
1993-12-06,23.326904296875,25.0,25.625,23.25,23.25,236400
1993-12-13,25.3096923828125,27.125,28.0,24.625,25.0,137800
1993-12-20,27.759017944335938,29.75,29.75,27.0,27.0,89700
1993-12-27,30.791515350341797,33.0,33.0,29.875,29.875,104800
1994-01-03,30.791515350341797,33.0,33.625,31.375,33.0,174600
1994-01-10,29.741804122924805,31.875,33.25,31.875,32.75,191700
1994-01-17,30.558244705200195,32.75,33.0,31.5,32.0,123100
1994-01-24,29.39190101623535,31.5,32.5,30.875,32.5,77100
1994-01-31,28.808727264404297,30.875,31.875,30.875,31.5,76700
1994-02-07,30.791515350341797,33.0,33.0,30.625,30.625,40000
1994-02-14,30.558244705200195,32.75,33.75,32.75,33.125,36000
1994-02-21,25.659595489501953,27.5,32.5,27.5,32.5,210700
1994-02-28,26.59267234802246,28.5,28.5,27.0,27.5,140500
1994-03-07,26.242767333984375,28.125,30.125,28.125,28.5,42400
1994-03-14,25.776229858398438,27.625,28.375,26.5,28.125,45900
1994-03-21,26.12613296508789,28.0,28.875,27.0,27.875,86100
1994-03-28,24.959789276123047,26.75,27.875,26.375,27.875,88200
1994-04-04,23.210269927978516,24.875,26.375,24.875,26.375,29800
1994-04-11,20.061138153076172,21.5,24.625,21.5,24.625,42600
1994-04-18,19.01142692565918,20.375,21.25,18.5,21.25,59900
1994-04-25,18.77815818786621,20.125,20.25,20.0,20.25,42900
1994-05-02,18.77815818786621,20.125,20.625,20.125,20.25,22800
1994-05-09,18.428255081176758,19.75,20.125,19.75,20.125,63100
