Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SWI,SWI,SWI,SWI,SWI,SWI
Date,,,,,,
2018-10-15,13.530876159667969,15.854430198669434,16.350210189819336,15.453585624694824,16.139240264892578,10229678
2018-10-22,12.792665481567383,14.98945140838623,16.297468185424805,14.662446975708008,16.033754348754883,5421328
2018-10-29,13.458855628967285,15.770042419433594,15.875527381896973,14.978902816772461,15.295358657836914,2376352
2018-11-05,13.566885948181152,15.896623611450195,16.04430389404297,15.55907154083252,15.696203231811523,1441908
2018-11-12,13.602896690368652,15.93881893157959,16.086498260498047,15.506328582763672,15.91772174835205,4127118
2018-11-19,12.585604667663574,14.746834754943848,15.896623611450195,14.52531623840332,15.833333015441895,1605343
2018-11-26,14.323101997375488,16.782699584960938,17.04641342163086,14.862869262695312,14.862869262695312,2412281
2018-12-03,14.548168182373047,17.04641342163086,17.47890281677246,16.11814308166504,17.12025260925293,3278373
2018-12-10,14.170060157775879,16.603376388549805,20.084388732910156,16.466245651245117,17.04641342163086,7123272
2018-12-17,11.82038688659668,13.850211143493652,16.540084838867188,13.744726181030273,16.540084838867188,6671076
2018-12-24,12.126474380493164,14.208861351013184,14.609704971313477,12.921940803527832,13.744726181030273,1687820
2018-12-31,12.810669898986816,15.01054859161377,15.021097183227539,13.354430198669434,14.36708927154541,2378247
2019-01-07,14.188065528869629,16.624473571777344,16.845991134643555,14.957805633544922,14.957805633544922,1507415
2019-01-14,15.21435832977295,17.827003479003906,18.080169677734375,16.223628997802734,16.47679328918457,1379720
2019-01-21,15.430421829223633,18.080169677734375,18.48101234436035,17.109704971313477,17.763713836669922,822295
2019-01-28,16.02458953857422,18.776371002197266,18.966245651245117,17.66877555847168,17.890295028686523,1346159
2019-02-04,16.249656677246094,19.040084838867188,19.64134979248047,17.943038940429688,18.850210189819336,2544433
2019-02-11,17.122905731201172,20.063291549682617,20.4324893951416,18.5970458984375,19.187763214111328,1922828
2019-02-18,16.93385124206543,19.841772079467773,20.35865020751953,19.419830322265625,20.14767837524414,1229936
2019-02-25,16.870834350585938,19.767932891845703,20.253164291381836,19.630802154541016,19.97890281677246,1412331
2019-03-04,16.11461639404297,18.88185691833496,20.042194366455078,18.48101234436035,19.88396644592285,1481629
2019-03-11,18.095182418823242,21.202531814575195,21.318565368652344,18.797468185424805,18.9029541015625,3832764
2019-03-18,17.21293067932129,20.16877555847168,22.38396644592285,20.010549545288086,20.516878128051758,3135131
2019-03-25,17.573034286499023,20.590717315673828,20.6645565032959,19.50421905517578,20.16877555847168,1524384
2019-04-01,16.771806716918945,19.651899337768555,21.47679328918457,19.37763786315918,20.801687240600586,1479923
2019-04-08,16.86182975769043,19.757383346557617,20.54852294921875,19.0295352935791,19.5675106048584,1602973
2019-04-15,16.771806716918945,19.651899337768555,20.390295028686523,19.24050521850586,19.88396644592285,1027158
2019-04-22,17.56403160095215,20.580169677734375,21.139240264892578,19.514768600463867,19.514768600463867,2159734
2019-04-29,17.54602813720703,20.559072494506836,21.00210952758789,19.841772079467773,20.052743911743164,1747259
2019-05-06,17.42899513244629,20.42194175720215,20.770042419433594,19.672996520996094,20.063291549682617,1306439
2019-05-13,17.26694679260254,20.232067108154297,20.54852294921875,19.694093704223633,19.88396644592285,1492910
2019-05-20,16.231651306152344,19.01898765563965,20.780590057373047,18.080169677734375,19.88396644592285,13687793
2019-05-27,15.75451374053955,18.459915161132812,19.47257423400879,18.101266860961914,19.0295352935791,6464601
2019-06-03,16.0065860748291,18.755273818969727,18.892404556274414,17.710969924926758,18.54430389404297,3915620
2019-06-10,16.222646713256836,19.008438110351562,20.031646728515625,18.755273818969727,18.934598922729492,3912681
2019-06-17,16.89784049987793,19.799577713012695,20.1265811920166,18.97679328918457,19.0295352935791,6588126
2019-06-24,16.510730743408203,19.345991134643555,20.042194366455078,18.69198226928711,19.81012725830078,5115312
2019-07-01,16.816816329956055,19.704641342163086,19.778480529785156,18.396623611450195,18.586498260498047,1905291
2019-07-08,17.023876190185547,19.947256088256836,20.305906295776367,19.282699584960938,19.588607788085938,1873153
2019-07-15,16.33968162536621,19.145570755004883,20.516878128051758,19.135021209716797,20.02109718322754,4405830
2019-07-22,16.276660919189453,19.07172966003418,19.440927505493164,18.5970458984375,19.145570755004883,1831537
2019-07-29,15.934564590454102,18.67088508605957,19.62025260925293,18.312236785888672,19.061180114746094,3518406
2019-08-05,15.691495895385742,18.386075973510742,18.80801773071289,17.09915542602539,18.25949478149414,4136218
2019-08-12,15.511443138122559,18.17510414123535,18.52320671081543,17.38396644592285,18.248945236206055,1838835
2019-08-19,15.547454833984375,18.217300415039062,18.82911491394043,17.64767837524414,18.25949478149414,2405740
2019-08-26,15.322389602661133,17.95358657836914,18.52320671081543,17.31012725830078,18.354429244995117,1756929
2019-09-02,15.700496673583984,18.396623611450195,18.69198226928711,17.40506362915039,17.805906295776367,1008862
2019-09-09,16.89784049987793,19.799577713012695,20.1265811920166,18.17510414123535,18.533754348754883,3042795
2019-09-16,17.104900360107422,20.042194366455078,20.485231399536133,19.50421905517578,19.662446975708008,6556652
2019-09-23,16.978862762451172,19.894514083862305,20.305906295776367,18.88185691833496,20.07383918762207,3611880
2019-09-30,16.717788696289062,19.588607788085938,19.989450454711914,18.48101234436035,19.37763786315918,2929319
2019-10-07,16.780807495117188,19.662446975708008,19.97890281677246,18.966245651245117,19.514768600463867,1990136
2019-10-14,16.924848556518555,19.83122444152832,20.348100662231445,19.124473571777344,19.62025260925293,2250837
2019-10-21,17.77109146118164,20.822784423828125,20.886075973510742,19.651899337768555,20.031646728515625,2071096
2019-10-28,17.077892303466797,20.010549545288086,21.687763214111328,19.24050521850586,20.822784423828125,3691133
2019-11-04,17.49201202392578,20.49578094482422,20.6645565032959,19.251054763793945,19.251054763793945,3126694
2019-11-11,17.31195831298828,20.284809112548828,20.56962013244629,19.535865783691406,20.390295028686523,1721852
2019-11-18,17.122905731201172,20.063291549682617,20.516878128051758,19.915611267089844,20.242616653442383,1885288
2019-11-25,17.41098976135254,20.40084457397461,20.696203231811523,20.084388732910156,20.09493637084961,1973357
2019-12-02,16.744796752929688,19.62025260925293,20.54852294921875,19.2616024017334,20.464134216308594,2021421
2019-12-09,16.051599502563477,18.80801773071289,19.57805824279785,18.196203231811523,19.50421905517578,3275910
2019-12-16,16.447711944580078,19.272151947021484,19.8734188079834,18.850210189819336,18.92405128479004,2965059
2019-12-23,16.63676643371582,19.493671417236328,19.789030075073242,19.219409942626953,19.409282684326172,825803
2019-12-30,16.645769119262695,19.50421905517578,20.263713836669922,19.061180114746094,19.440927505493164,1042326
2020-01-06,16.474720001220703,19.303796768188477,20.179325103759766,19.061180114746094,19.35654067993164,1692559
2020-01-13,17.00587272644043,19.92616081237793,19.957805633544922,19.177215576171875,19.303796768188477,2416168
2020-01-20,16.95185661315918,19.862869262695312,20.253164291381836,19.588607788085938,19.88396644592285,1989662
2020-01-27,17.032880783081055,19.957805633544922,20.274261474609375,19.113924026489258,19.462024688720703,1910978
