Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TER,TER,TER,TER,TER,TER
Date,,,,,,
1973-02-19,1.0761666297912598,1.1640629768371582,1.2109379768371582,1.1640629768371582,1.2109379768371582,36800
1973-02-26,0.9967173337936401,1.078125,1.140625,0.9609379768371582,1.140625,420800
1973-03-05,1.0111627578735352,1.09375,1.1015629768371582,1.0703129768371582,1.0703129768371582,32000
1973-03-12,0.982272744178772,1.0625,1.0859379768371582,1.0625,1.0859379768371582,11200
1973-03-19,0.8667107224464417,0.9375,1.078125,0.9375,1.0625,880000
1973-03-26,0.859488844871521,0.9296879768371582,0.9375,0.9140629768371582,0.9140629768371582,257600
1973-04-02,0.8378205895423889,0.90625,0.9375,0.828125,0.828125,664000
1973-04-09,0.8667107224464417,0.9375,0.9375,0.9140629768371582,0.9140629768371582,94400
1973-04-16,0.859488844871521,0.9296879768371582,0.9453129768371582,0.9296879768371582,0.9296879768371582,30400
1973-04-23,0.9244916439056396,1.0,1.0078129768371582,0.96875,0.96875,164800
1973-04-30,1.054498314857483,1.140625,1.140625,1.0078129768371582,1.0078129768371582,118400
1973-05-07,0.9967173337936401,1.078125,1.15625,1.0625,0.0,115200
1973-05-14,0.9172695279121399,0.9921879768371582,1.078125,0.9921879768371582,1.078125,48000
1973-05-21,0.9461600184440613,1.0234379768371582,1.0234379768371582,0.9453129768371582,0.0,54400
1973-05-28,0.8378205895423889,0.90625,1.0390629768371582,0.90625,0.0,48000
1973-06-04,0.8667107224464417,0.9375,0.953125,0.9140629768371582,0.9375,20800
1973-06-11,0.8739341497421265,0.9453129768371582,0.9609379768371582,0.921875,0.0,22400
1973-06-18,0.859488844871521,0.9296879768371582,0.9375,0.9140629768371582,0.9140629768371582,17600
1973-06-25,0.8667107224464417,0.9375,0.9375,0.921875,0.9375,72000
1973-07-02,0.8667107224464417,0.9375,0.9453129768371582,0.9296879768371582,0.0,28800
1973-07-09,0.859488844871521,0.9296879768371582,0.9453129768371582,0.9140629768371582,0.0,52800
1973-07-16,0.9606053233146667,1.0390629768371582,1.09375,0.9296879768371582,0.9296879768371582,84800
1973-07-23,1.054498314857483,1.140625,1.1484379768371582,1.0703129768371582,0.0,204800
1973-07-30,1.0111627578735352,1.09375,1.140625,1.09375,1.109375,44800
1973-08-06,1.0906120538711548,1.1796879768371582,1.1796879768371582,1.09375,0.0,158400
1973-08-13,0.982272744178772,1.0625,1.1796879768371582,1.0625,0.0,84800
1973-08-20,0.982272744178772,1.0625,1.0625,1.015625,0.0,163200
1973-08-27,1.1267244815826416,1.21875,1.21875,1.015625,0.0,286400
1973-09-03,1.0833886861801147,1.171875,1.28125,1.171875,0.0,100800
1973-09-10,1.1772829294204712,1.2734379768371582,1.2734379768371582,1.1328129768371582,0.0,251200
1973-09-17,1.235063910484314,1.3359379768371582,1.34375,1.25,0.0,564800
1973-09-24,1.4011821746826172,1.515625,1.5234379768371582,1.28125,0.0,467200
1973-10-01,1.5095219612121582,1.6328129768371582,1.703125,1.5078129768371582,0.0,819200
1973-10-08,1.451741337776184,1.5703129768371582,1.6875,1.53125,0.0,358400
1973-10-15,1.4156279563903809,1.53125,1.5859379768371582,1.4921879768371582,0.0,208000
1973-10-22,1.5239671468734741,1.6484379768371582,1.671875,1.484375,0.0,222400
1973-10-29,1.4084056615829468,1.5234379768371582,1.65625,1.5,0.0,99200
1973-11-05,1.3289568424224854,1.4375,1.515625,1.2890629768371582,0.0,230400
1973-11-12,1.3000668287277222,1.40625,1.4296879768371582,1.328125,0.0,280000
1973-11-19,1.1700598001480103,1.265625,1.390625,1.21875,0.0,283200
1973-11-26,1.040053367614746,1.125,1.265625,1.1015629768371582,0.0,219200
1973-12-03,0.982272744178772,1.0625,1.1171879768371582,0.984375,0.0,244800
1973-12-10,0.7944849729537964,0.859375,1.0625,0.75,0.0,545600
1973-12-17,1.0111627578735352,1.09375,1.15625,0.828125,0.0,462400
1973-12-24,1.1267244815826416,1.21875,1.234375,1.0390629768371582,0.0,102400
1973-12-31,0.9967173337936401,1.078125,1.25,1.0625,0.0,152000
1974-01-07,0.953382134437561,1.03125,1.125,1.03125,0.0,137600
1974-01-14,1.054498314857483,1.140625,1.171875,1.046875,0.0,96000
1974-01-21,1.1339473724365234,1.2265629768371582,1.25,1.09375,0.0,99200
1974-01-28,1.0617212057113647,1.1484379768371582,1.2265629768371582,1.1171879768371582,0.0,81600
