Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSEM,TSEM,TSEM,TSEM,TSEM,TSEM
Date,,,,,,
1994-10-24,203.3231658935547,213.75,225.0,208.125,210.0,289666
1994-10-31,206.89024353027344,217.5,225.0,210.0,213.75,95646
1994-11-07,200.64785766601562,210.9375,225.0,210.0,217.5,38193
1994-11-14,196.18902587890625,206.25,213.75,202.5,210.0,60474
1994-11-21,192.6219482421875,202.5,211.875,202.5,210.0,12827
1994-11-28,189.94664001464844,199.6875,204.375,198.75,202.5,3380
1994-12-05,160.51829528808594,168.75,204.375,168.75,198.75,10487
1994-12-12,165.868896484375,174.375,178.125,168.75,178.125,13900
1994-12-19,164.08535766601562,172.5,180.0,150.0,168.75,85560
1994-12-26,156.9512176513672,165.0,180.0,159.375,172.5,8693
1995-01-02,146.25,153.75,165.0,153.75,165.0,9187
1995-01-09,165.868896484375,174.375,187.5,153.75,157.5,33940
1995-01-16,197.97256469726562,208.125,217.5,174.375,174.375,46386
1995-01-23,205.10670471191406,215.625,215.625,202.5,204.375,21473
1995-01-30,196.18902587890625,206.25,217.5,204.375,215.625,8100
1995-02-06,208.6737823486328,219.375,221.25,195.0,206.25,19934
1995-02-13,247.9115753173828,260.625,266.25,210.0,210.0,48787
1995-02-20,246.1280517578125,258.75,277.5,249.375,262.5,41720
1995-02-27,246.1280517578125,258.75,264.375,247.5,255.0,9987
1995-03-06,256.8292541503906,270.0,273.75,256.875,264.375,20200
1995-03-13,271.0975646972656,285.0,296.25,266.25,266.25,41580
1995-03-20,288.93292236328125,303.75,311.25,281.25,288.75,33434
1995-03-27,281.79876708984375,296.25,337.5,294.375,300.0,24840
1995-04-03,276.44818115234375,290.625,307.5,285.0,296.25,6534
1995-04-10,280.0152282714844,294.375,311.25,285.0,286.875,7774
1995-04-17,296.06707763671875,311.25,315.0,288.75,288.75,13126
1995-04-24,304.9847412109375,320.625,339.375,303.75,315.0,16873
1995-05-01,301.41766357421875,316.875,356.25,311.25,324.375,13766
1995-05-08,306.7682800292969,322.5,333.75,315.0,315.0,20266
1995-05-15,329.9542541503906,346.875,356.25,307.5,307.5,39359
1995-05-22,335.30487060546875,352.5,399.375,348.75,360.0,22459
1995-05-29,313.9024353027344,330.0,365.625,311.25,365.625,31846
1995-06-05,363.8414611816406,382.5,386.25,345.0,367.5,53961
1995-06-12,404.86279296875,425.625,435.0,375.0,386.25,42727
1995-06-19,449.4512023925781,472.5,487.5,423.75,431.25,41180
1995-06-26,413.7804870605469,435.0,470.625,420.0,459.375,208653
1995-07-03,471.74542236328125,495.9375,498.75,427.5,435.0,95293
1995-07-10,467.2865905761719,491.25,525.0,468.75,498.75,74526
1995-07-17,438.75,461.25,502.5,431.25,498.75,92860
1995-07-24,490.4725646972656,515.625,532.5,457.5,461.25,82000
1995-07-31,453.0182800292969,476.25,521.25,476.25,515.625,36567
1995-08-07,454.80181884765625,478.125,491.25,457.5,487.5,30234
1995-08-14,488.68902587890625,513.75,540.0,476.25,487.5,44566
1995-08-21,463.7195129394531,487.5,525.0,468.75,525.0,51307
1995-08-28,444.1006164550781,466.875,495.0,442.5,487.734375,21320
1995-09-04,501.17376708984375,526.875,532.5,468.75,480.0,27412
1995-09-11,485.1219482421875,510.0,536.25,491.25,525.0,33946
1995-09-18,476.2042541503906,500.625,525.0,487.5,506.25,12027
1995-09-25,463.7195129394531,487.5,498.75,446.25,495.0,37065
1995-10-02,394.1615905761719,414.375,487.5,397.5,483.75,52800
1995-10-09,413.7804870605469,435.0,435.0,360.0,406.875,69840
1995-10-16,431.6158447265625,453.75,461.25,401.25,427.5,39840
1995-10-23,424.481689453125,446.25,481.875,427.5,442.5,33553
1995-10-30,447.66766357421875,470.625,472.5,435.0,446.25,41640
1995-11-06,403.0792541503906,423.75,472.5,405.0,461.25,27766
1995-11-13,385.243896484375,405.0,431.25,363.75,420.0,37506
1995-11-20,353.1402282714844,371.25,431.25,363.75,405.0,17060
1995-11-27,338.8719482421875,356.25,382.5,330.0,375.0,61860
1995-12-04,363.8414611816406,382.5,386.25,348.75,367.5,20767
1995-12-11,342.43902587890625,360.0,393.75,360.0,386.25,18714
1995-12-18,324.6036682128906,341.25,363.75,315.0,363.75,35767
1995-12-25,315.68597412109375,331.875,352.5,311.25,345.0,19101
1996-01-01,328.17071533203125,345.0,371.25,328.125,333.75,33427
1996-01-08,278.231689453125,292.5,348.75,281.25,348.75,48247
1996-01-15,246.1280517578125,258.75,296.25,245.625,296.25,113226
1996-01-22,274.6646423339844,288.75,288.75,243.75,258.75,59453
1996-01-29,285.3658447265625,300.0,318.75,281.25,288.75,23240
1996-02-05,310.3353576660156,326.25,356.25,296.25,296.25,26546
1996-02-12,274.6646423339844,288.75,326.25,258.75,326.25,60213
1996-02-19,265.7469482421875,279.375,292.5,279.375,285.0,25481
1996-02-26,258.61279296875,271.875,288.75,270.0,286.875,17399
1996-03-04,231.85975646972656,243.75,277.5,236.25,277.5,22585
1996-03-11,185.48780822753906,195.0,251.25,176.25,243.75,85453
1996-03-18,189.05487060546875,198.75,206.25,185.625,202.5,25393
1996-03-25,206.89024353027344,217.5,221.25,198.75,198.75,19747
1996-04-01,204.21493530273438,214.6875,217.5,202.5,217.5,21787
1996-04-08,208.6737823486328,219.375,240.0,206.25,213.75,22481
1996-04-15,212.2408447265625,223.125,236.25,219.375,225.0,5034
