Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UK,UK,UK,UK,UK,UK
Date,,,,,,
2019-11-04,2371.199951171875,2371.199951171875,2373.60009765625,2364.0,2364.0,2616
2019-11-11,2380.800048828125,2380.800048828125,2457.60009765625,2371.199951171875,2371.199951171875,1049
2019-11-18,2371.199951171875,2371.199951171875,2392.800048828125,2370.0,2392.800048828125,1001
2019-11-25,2380.800048828125,2380.800048828125,2380.800048828125,2371.199951171875,2376.0,350
2019-12-02,2371.199951171875,2371.199951171875,2457.60009765625,2371.199951171875,2457.60009765625,5
2019-12-09,2371.199951171875,2371.199951171875,2371.199951171875,2371.199951171875,2371.199951171875,0
2019-12-16,2376.0,2376.0,2376.0,2371.199951171875,2371.199951171875,1
2019-12-23,2376.0,2376.0,2376.0,2376.0,2376.0,0
2019-12-30,2388.0,2388.0,2388.0,2376.0,2376.0,1
2020-01-06,2392.800048828125,2392.800048828125,2392.800048828125,2383.199951171875,2388.0,504
2020-01-13,2388.0,2388.0,2392.800048828125,2380.800048828125,2392.800048828125,10
2020-01-20,2388.0,2388.0,2395.199951171875,2388.0,2395.199951171875,178
2020-01-27,2388.0,2388.0,2388.0,2388.0,2388.0,0
2020-02-03,2412.0,2412.0,2412.0,2388.0,2388.0,160
2020-02-10,2412.0,2412.0,2412.0,2412.0,2412.0,0
2020-02-17,2412.0,2412.0,2424.0,2412.0,2416.800048828125,10
2020-02-24,2400.0,2400.0,2412.0,2400.0,2412.0,0
2020-03-02,2400.0,2400.0,2400.0,2400.0,2400.0,0
2020-03-09,2392.800048828125,2392.800048828125,2414.39990234375,2365.199951171875,2414.39990234375,759
2020-03-16,2359.199951171875,2359.199951171875,2400.0,1442.4000244140625,1442.4000244140625,2626
2020-03-23,2364.0,2364.0,2400.0,2304.0,2364.0,317
2020-03-30,2388.0,2388.0,2445.60009765625,2376.0,2376.0,1238
2020-04-06,2400.0,2400.0,2400.0,2388.0,2388.0,103
2020-04-13,2404.800048828125,2404.800048828125,2404.800048828125,2402.39990234375,2404.800048828125,76
2020-04-20,2412.0,2412.0,2412.0,2404.800048828125,2404.800048828125,3
2020-04-27,2445.60009765625,2445.60009765625,2445.60009765625,2407.199951171875,2412.0,1084
2020-05-04,2445.60009765625,2445.60009765625,2445.60009765625,2445.60009765625,2445.60009765625,0
2020-05-11,2445.60009765625,2445.60009765625,2445.60009765625,2445.60009765625,2445.60009765625,0
2020-05-18,2404.800048828125,2404.800048828125,2445.60009765625,2402.39990234375,2445.60009765625,218
2020-05-25,2424.0,2424.0,2424.0,2404.800048828125,2404.800048828125,13
2020-06-01,2424.0,2424.0,2424.0,2424.0,2424.0,0
2020-06-08,2419.199951171875,2419.199951171875,2419.199951171875,2412.0,2416.800048828125,63
2020-06-15,2414.39990234375,2414.39990234375,2448.0,2414.39990234375,2419.199951171875,87
2020-06-22,2416.800048828125,2416.800048828125,2448.0,2416.800048828125,2431.199951171875,161
2020-06-29,2421.60009765625,2421.60009765625,2433.60009765625,2421.60009765625,2431.199951171875,8
2020-07-06,2438.39990234375,2438.39990234375,2601.60009765625,2433.60009765625,2546.39990234375,1613
2020-07-13,2442.0,2442.0,2460.0,2424.0,2436.0,754
2020-07-20,2438.39990234375,2438.39990234375,2446.800048828125,2431.199951171875,2431.199951171875,290
2020-07-27,2432.39990234375,2432.39990234375,2452.800048828125,2432.39990234375,2452.800048828125,219
2020-08-03,2443.199951171875,2443.199951171875,2445.60009765625,2436.0,2441.52001953125,36
2020-08-10,2443.199951171875,2443.199951171875,2448.0,2443.199951171875,2443.199951171875,18
