Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ULBI,ULBI,ULBI,ULBI,ULBI,ULBI
Date,,,,,,
1992-12-21,13.0,13.0,14.0,11.5,12.25,1016500
1992-12-28,12.25,12.25,13.5,11.5,13.0,228900
1993-01-04,13.25,13.25,13.75,12.0,12.5,456900
1993-01-11,12.75,12.75,13.5,12.0,13.0,289800
1993-01-18,13.25,13.25,14.25,12.5,13.25,509800
1993-01-25,12.5,12.5,13.25,11.25,12.5,524200
1993-02-01,12.25,12.25,13.5,11.5,12.625,380000
1993-02-08,10.0,10.0,12.0,9.0,11.5,456500
1993-02-15,9.75,9.75,10.0,7.25,9.5,392700
1993-02-22,8.75,8.75,10.0,8.0,9.5,194200
1993-03-01,8.75,8.75,8.75,7.75,8.0,140400
1993-03-08,8.75,8.75,9.5,8.0,8.75,228400
1993-03-15,8.5,8.5,9.25,7.75,8.75,200700
1993-03-22,8.125,8.125,8.75,8.0,8.5,223900
1993-03-29,8.0,8.0,8.5,7.5,8.125,214800
1993-04-05,8.0,8.0,8.25,7.5,7.875,122000
1993-04-12,8.0,8.0,8.125,7.75,8.125,21100
1993-04-19,7.5,7.5,8.125,7.25,7.875,94300
1993-04-26,7.5,7.5,8.25,7.5,7.875,77800
1993-05-03,7.5,7.5,8.0,7.0,8.0,115700
1993-05-10,7.5,7.5,8.25,7.0,7.5,67900
1993-05-17,7.5,7.5,8.125,6.375,7.375,142900
1993-05-24,7.0,7.0,8.0,7.0,7.5,26300
1993-05-31,7.5,7.5,7.75,7.0,7.0,51900
1993-06-07,8.0,8.0,8.25,7.0,7.5,98800
1993-06-14,8.5,8.5,8.75,7.875,8.25,95900
1993-06-21,8.375,8.375,8.75,8.25,8.25,80800
1993-06-28,8.5,8.5,9.0,8.25,8.75,53500
1993-07-05,8.5,8.5,9.0,8.5,8.5,10700
1993-07-12,8.5,8.5,9.0,8.5,8.75,16800
1993-07-19,9.375,9.375,9.625,8.5,8.875,299200
1993-07-26,9.625,9.625,10.5,9.0,9.125,175000
1993-08-02,9.5,9.5,10.0,8.75,9.75,120800
1993-08-09,9.5,9.5,10.25,9.5,10.0,50000
1993-08-16,10.0,10.0,10.25,9.5,10.25,98100
1993-08-23,9.625,9.625,10.25,9.5,9.5,52000
1993-08-30,9.25,9.25,10.0,9.0,10.0,57500
1993-09-06,9.125,9.125,9.25,8.75,9.0,43900
1993-09-13,8.75,8.75,9.25,8.25,8.875,59500
1993-09-20,8.25,8.25,8.75,8.0,8.625,49700
1993-09-27,8.75,8.75,8.75,8.0,8.0,82000
1993-10-04,8.75,8.75,8.75,8.0,8.0,217300
1993-10-11,8.25,8.25,8.75,8.0,8.0,39600
1993-10-18,10.0,10.0,10.75,8.0,8.75,330200
1993-10-25,11.0,11.0,11.5,10.25,10.75,437800
1993-11-01,11.25,11.25,13.5,10.5,11.0,452800
1993-11-08,11.5,11.5,12.25,11.25,11.5,64100
1993-11-15,11.0,11.0,12.0,11.0,12.0,70700
1993-11-22,10.25,10.25,11.75,10.25,11.75,74100
1993-11-29,10.5,10.5,11.0,10.0,10.5,75900
1993-12-06,11.0,11.0,11.25,10.5,11.0,84300
1993-12-13,11.25,11.25,11.75,10.75,11.25,73300
1993-12-20,11.25,11.25,11.75,11.0,11.25,36600
1993-12-27,11.75,11.75,11.75,10.5,11.25,49600
1994-01-03,12.75,12.75,12.75,11.25,11.75,384300
1994-01-10,12.0,12.0,12.75,11.5,12.75,274600
1994-01-17,11.25,11.25,12.25,11.25,12.25,37500
1994-01-24,11.25,11.25,12.0,11.25,11.75,22500
1994-01-31,10.75,10.75,12.0,10.5,11.25,115800
1994-02-07,11.5,11.5,12.5,10.5,11.0,53400
1994-02-14,11.25,11.25,12.0,11.0,11.5,39100
1994-02-21,11.5,11.5,11.75,10.75,11.5,17000
1994-02-28,11.25,11.25,11.75,10.75,11.0,53800
1994-03-07,11.25,11.25,11.5,10.5,11.25,37200
1994-03-14,12.75,12.75,13.0,11.0,11.25,216000
1994-03-21,12.25,12.25,12.75,11.75,12.75,32000
