Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP,UNP
Date,,,,,,
1980-01-01,1.0210626125335693,3.0100409984588623,3.0520660877227783,2.94700288772583,3.0100409984588623,5089827
1980-01-08,0.9907693862915039,2.9207379817962646,3.0363059043884277,2.8156750202178955,3.0100409984588623,26496133
1980-01-15,1.0745208263397217,3.1676340103149414,3.1676340103149414,2.9417500495910645,2.9417500495910645,10784057
1980-01-22,1.1155061721801758,3.2884559631347656,3.3409879207611084,3.157128095626831,3.1676340103149414,7200477
1980-01-29,1.1155061721801758,3.2884559631347656,3.3357338905334473,2.9680159091949463,3.2884559631347656,4021415
1980-02-05,1.3453775644302368,3.966109037399292,4.118450164794922,3.309468984603882,3.309468984603882,21163593
1980-02-12,1.3079577684402466,3.8557939529418945,3.9608559608459473,3.7612380981445312,3.9608559608459473,12740036
1980-02-19,1.368544340133667,4.03439998626709,4.244524955749512,3.850541114807129,3.8557939529418945,12218917
1980-02-26,1.3329039812088013,3.929337978363037,4.128955841064453,3.8978190422058105,4.03439998626709,8718619
1980-03-04,1.2473706007003784,3.677187919616699,4.029147148132324,3.629909038543701,3.929337978363037,8618680
1980-03-11,1.1597819328308105,3.3935189247131348,3.6876940727233887,3.3830130100250244,3.677187919616699,7854848
1980-03-18,1.1436244249343872,3.346240997314453,3.614150047302246,3.325227975845337,3.3935189247131348,10103509
1980-03-25,1.204664945602417,3.5248470306396484,3.5458590984344482,3.2779500484466553,3.346240997314453,6519928
1980-04-01,1.1454193592071533,3.351494073867798,3.530100107192993,3.3409879207611084,3.514341115951538,5844141
1980-04-08,1.127465844154358,3.2989630699157715,3.4145309925079346,3.283202886581421,3.351494073867798,4825700
1980-04-15,1.0233371257781982,2.994281053543091,3.3567469120025635,2.994281053543091,3.2989630699157715,10705534
1980-04-22,1.0718114376068115,3.1361160278320312,3.267443895339966,3.0468130111694336,3.0468130111694336,8030935
1980-04-29,1.0843784809112549,3.1728880405426025,3.2149128913879395,3.073077917098999,3.1361160278320312,3892920
1980-05-06,1.1166942119598389,3.267443895339966,3.319974899291992,3.1728880405426025,3.1728880405426025,4304582
1980-05-13,1.0951497554779053,3.2044060230255127,3.3409879207611084,3.1728880405426025,3.267443895339966,2856633
1980-05-20,1.2064604759216309,3.530100107192993,3.57212495803833,3.1623809337615967,3.2044060230255127,3135039
1980-05-27,1.220822811126709,3.57212495803833,3.7087059020996094,3.4250380992889404,3.656174898147583,4070196
1980-06-03,1.2459572553634644,3.6456689834594727,3.803262948989868,3.4670629501342773,3.57212495803833,5346818
1980-06-10,1.2741628885269165,3.698199987411499,3.7927560806274414,3.656174898147583,3.677187919616699,5176681
1980-06-17,1.1510908603668213,3.3409879207611084,3.6876940727233887,3.319974899291992,3.6876940727233887,10973230
1980-06-24,1.23796546459198,3.5931379795074463,3.698199987411499,3.309468984603882,3.3409879207611084,8480666
1980-07-01,1.3067399263381958,3.7927560806274414,3.7927560806274414,3.5406060218811035,3.5931379795074463,3111243
1980-07-08,1.375516653060913,3.992374897003174,3.992374897003174,3.698199987411499,3.7927560806274414,6317667
1980-07-15,1.4732511043548584,4.276043891906738,4.286550045013428,3.908324956893921,3.9818689823150635,10011897
1980-07-22,1.375516653060913,3.992374897003174,4.276043891906738,3.908324956893921,4.276043891906738,5704938
1980-07-29,1.346558690071106,3.908324956893921,4.097437858581543,3.824275016784668,3.992374897003174,5185009
1980-08-05,1.3863762617111206,4.0238938331604,4.065918922424316,3.8347809314727783,3.908324956893921,4743605
1980-08-12,1.4008557796478271,4.065918922424316,4.16047477722168,4.03439998626709,4.03439998626709,7376560
1980-08-19,1.4117144346237183,4.097437858581543,4.181488037109375,3.992374897003174,4.065918922424316,4017847
1980-08-26,1.38999605178833,4.03439998626709,4.170980930328369,3.950350046157837,4.097437858581543,3639500
1980-09-02,1.3827571868896484,4.013388156890869,4.202499866485596,3.9818689823150635,4.03439998626709,7231411
1980-09-09,1.4327037334442139,4.128955841064453,4.139462947845459,3.950350046157837,4.013388156890869,4707912
1980-09-16,1.6477923393249512,4.7488250732421875,4.7908501625061035,4.1919941902160645,4.1919941902160645,9764426
1980-09-23,1.6186280250549316,4.6647748947143555,5.127049922943115,4.654269218444824,4.7488250732421875,7804878
1980-09-30,1.7644507884979248,5.085024833679199,5.1060380935668945,4.643763065338135,4.6647748947143555,7969065
1980-10-07,1.7826781272888184,5.137556076049805,5.242619037628174,5.0219879150390625,5.085024833679199,6380725
1980-10-14,1.932145595550537,5.568313121795654,5.568313121795654,4.990468978881836,5.137556076049805,7074360
1980-10-21,1.9831833839416504,5.715400218963623,5.967549800872803,5.6418561935424805,5.6418561935424805,7841761
1980-10-28,2.0050573348999023,5.778438091278076,5.788943767547607,5.662868976593018,5.715400218963623,3443189
1980-11-04,2.0633862018585205,5.946537971496582,6.051599979400635,5.904512882232666,5.967549800872803,5056513
1980-11-11,2.435232639312744,7.01817512512207,7.039187908172607,5.9570441246032715,5.9570441246032715,5930993
1980-11-18,2.5701184272766113,7.4069061279296875,7.438425064086914,6.745013236999512,7.01817512512207,12543724
1980-11-25,2.530017852783203,7.291337966918945,8.089813232421875,7.228300094604492,7.4069061279296875,10975610
1980-12-02,2.234062671661377,6.408812999725342,7.375388145446777,6.366787910461426,7.291337966918945,9111243
1980-12-09,2.3146350383758545,6.639949798583984,6.69248104095459,6.19868803024292,6.408812999725342,6271267
1980-12-16,2.3439366817474365,6.723999977111816,7.14424991607666,6.608430862426758,6.639949798583984,8331946
1980-12-23,2.270686388015747,6.5138750076293945,6.723999977111816,6.4298248291015625,6.69248104095459,2425938
1980-12-30,2.270686388015747,6.5138750076293945,6.66096305847168,6.419319152832031,6.5138750076293945,4079714
1981-01-06,2.080240488052368,5.967549800872803,6.492863178253174,5.76793098449707,6.492863178253174,9713265
1981-01-13,2.245049238204956,6.440330982208252,6.66096305847168,5.925525188446045,5.967549800872803,7083878
1981-01-20,2.006993293762207,5.757424831390381,6.4718499183654785,5.662868976593018,6.440330982208252,6196312
1981-01-27,2.0143184661865234,5.778438091278076,5.9570441246032715,5.683880805969238,5.757424831390381,7357526
1981-02-03,1.9154337644577026,5.494769096374512,5.967549800872803,5.484262943267822,5.778438091278076,5019632
1981-02-10,1.904446005821228,5.463250160217285,5.5788187980651855,5.421225070953369,5.494769096374512,5041048
1981-02-17,1.9081082344055176,5.473755836486816,5.652362823486328,5.379199981689453,5.463250160217285,4083283
1981-02-24,1.9996694326400757,5.73641300201416,5.778438091278076,5.389706134796143,5.473755836486816,5731113
1981-03-03,1.9923434257507324,5.715400218963623,6.219699859619141,5.673375129699707,5.73641300201416,9861987
1981-03-10,2.1950249671936035,6.261724948883057,6.261724948883057,5.683880805969238,5.715400218963623,6684116
1981-03-17,2.0366601943969727,5.809956073760986,6.314256191253662,5.631350040435791,6.261724948883057,10885188
1981-03-24,2.1360971927642822,6.093625068664551,6.293243885040283,5.904512882232666,5.904512882232666,5953598
1981-03-31,2.143465042114258,6.114637851715088,6.303750038146973,6.10413122177124,6.177674770355225,5426533
1981-04-07,1.9445860385894775,5.547299861907959,6.261724948883057,5.547299861907959,6.114637851715088,7056514
1981-04-14,1.9151227474212646,5.463250160217285,5.757424831390381,5.452744007110596,5.547299861907959,4205831
1981-04-21,1.7309763431549072,4.937938213348389,5.463250160217285,4.864394187927246,5.463250160217285,10854253
1981-04-28,1.7236108779907227,4.916924953460693,5.0640130043029785,4.832874774932861,4.927431106567383,10215348
1981-05-05,1.7088793516159058,4.874899864196777,5.074519157409668,4.832874774932861,4.916924953460693,7361094
1981-05-12,1.75675630569458,5.011480808258057,5.0640130043029785,4.843380928039551,4.874899864196777,6704342
1981-05-19,1.642586588859558,4.685788154602051,4.990468978881836,4.601737976074219,4.990468978881836,4691255
1981-05-26,1.5541967153549194,4.433638095855713,4.832874774932861,4.391613006591797,4.685788154602051,7371802
1981-06-02,1.638903260231018,4.675281047821045,4.675281047821045,4.118450164794922,4.402119159698486,13367044
1981-06-09,1.6109645366668701,4.559712886810303,4.780344009399414,4.559712886810303,4.675281047821045,8437835
1981-06-16,1.6629310846328735,4.7067999839782715,4.769837856292725,4.444143772125244,4.538700103759766,6434266
1981-06-23,1.7148977518081665,4.853888034820557,4.885406017303467,4.601737976074219,4.685788154602051,4628198
1981-06-30,1.5849816799163818,4.48616886138916,4.927431106567383,4.465156078338623,4.853888034820557,4424748
1981-07-07,1.7074731588363647,4.832874774932861,4.937938213348389,4.517687797546387,4.517687797546387,4086853
1981-07-14,1.7223212718963623,4.874899864196777,4.927431106567383,4.780344009399414,4.832874774932861,3801307
1981-07-21,1.8448160886764526,5.2216057777404785,5.242619037628174,4.853888034820557,4.874899864196777,7137418
1981-07-28,1.8151191473007202,5.137556076049805,5.337174892425537,5.137556076049805,5.2216057777404785,4446162
1981-08-04,1.8114075660705566,5.127049922943115,5.211100101470947,4.969456195831299,5.137556076049805,5466985
1981-08-11,1.8373898267745972,5.200593948364258,5.3056559562683105,5.085024833679199,5.127049922943115,5720404
1981-08-18,1.6852028369903564,4.769837856292725,5.2636308670043945,4.738318920135498,5.200593948364258,4515170
1981-08-25,1.5515741109848022,4.391613006591797,4.7067999839782715,4.37060022354126,4.7067999839782715,5382510
1981-09-01,1.4996074438095093,4.244524955749512,4.454649925231934,4.213006019592285,4.391613006591797,3277811
1981-09-08,1.466200351715088,4.149969100952148,4.244524955749512,4.076425075531006,4.244524955749512,6309340
1981-09-15,1.4773364067077637,4.181488037109375,4.265538215637207,4.128955841064453,4.16047477722168,5842952
1981-09-22,1.3956745862960815,3.950350046157837,4.1919941902160645,3.57212495803833,4.181488037109375,5867935
1981-09-29,1.451352834701538,4.107944011688232,4.202499866485596,3.887312889099121,3.992374897003174,6504461
1981-10-06,1.4736248254776,4.170980930328369,4.36009407043457,4.002881050109863,4.107944011688232,7371802
1981-10-13,1.4365051984786987,4.065918922424316,4.170980930328369,3.971363067626953,4.170980930328369,3444378
1981-10-20,1.4253692626953125,4.03439998626709,4.265538215637207,4.002881050109863,4.076425075531006,5716836
1981-10-27,1.5738447904586792,4.454649925231934,4.454649925231934,3.9818689823150635,4.03439998626709,5400357
1981-11-03,1.6258121728897095,4.601737976074219,4.801355838775635,4.423130989074707,4.454649925231934,13447948
1981-11-10,1.5144553184509277,4.286550045013428,4.685788154602051,4.255031108856201,4.601737976074219,9118382
1981-11-17,1.5589975118637085,4.412624835968018,4.433638095855713,4.170980930328369,4.286550045013428,6003569
1981-11-24,1.6777780055999756,4.7488250732421875,4.759331226348877,4.433638095855713,4.433638095855713,7181439
1981-12-01,1.6692904233932495,4.685788154602051,4.769837856292725,4.601737976074219,4.7488250732421875,5516955
1981-12-08,1.646833896636963,4.6227498054504395,4.832874774932861,4.612244129180908,4.696293830871582,3904819
1981-12-15,1.6131490468978882,4.528193950653076,4.654269218444824,4.465156078338623,4.601737976074219,3386079
1981-12-22,1.5719776153564453,4.412624835968018,4.517687797546387,4.37060022354126,4.517687797546387,2604402
1981-12-29,1.5345491170883179,4.307562828063965,4.444143772125244,4.244524955749512,4.402119159698486,3702558
1982-01-05,1.3286951780319214,3.7297189235687256,4.244524955749512,3.7297189235687256,4.244524955749512,8659131
1982-01-12,1.4372367858886719,4.03439998626709,4.03439998626709,3.7087059020996094,3.7297189235687256,5223082
1982-01-19,1.3661233186721802,3.8347809314727783,4.013388156890869,3.6666810512542725,4.013388156890869,6289114
1982-01-26,1.3810946941375732,3.8768060207366943,4.076425075531006,3.656174898147583,3.8347809314727783,7318263
1982-02-02,1.1527824401855469,3.2359249591827393,3.9188311100006104,3.2359249591827393,3.8768060207366943,17185009
1982-02-09,1.1864694356918335,3.3304810523986816,3.446049928665161,3.225419044494629,3.2359249591827393,7204044
1982-02-16,1.1003851890563965,3.0888381004333496,3.2989630699157715,3.0888381004333496,3.2989630699157715,8753123
1982-02-23,1.1153559684753418,3.1308629512786865,3.2359249591827393,3.0047879219055176,3.0888381004333496,9321832
1982-03-02,0.9581573009490967,2.6895999908447266,3.141369104385376,2.6475749015808105,3.1308629512786865,10531826
1982-03-09,1.0919170379638672,3.0257999897003174,3.0363059043884277,2.679094076156616,2.6895999908447266,11193336
1982-03-16,1.0919170379638672,3.0257999897003174,3.0783309936523438,2.9417500495910645,3.0257999897003174,6854254
1982-03-23,1.1260387897491455,3.1203560829162598,3.1728880405426025,3.0047879219055176,3.0363059043884277,5462225
1982-03-30,1.163953185081482,3.225419044494629,3.2989630699157715,3.0678250789642334,3.1203560829162598,5170732
1982-04-06,1.1942839622497559,3.309468984603882,3.4250380992889404,3.1623809337615967,3.225419044494629,4343843
1982-04-13,1.1525793075561523,3.1939001083374023,3.319974899291992,3.0888381004333496,3.309468984603882,4704342
1982-04-20,1.1374133825302124,3.1518750190734863,3.2149128913879395,3.0363059043884277,3.1939001083374023,5066032
1982-04-27,1.118456244468689,3.09934401512146,3.1939001083374023,3.0363059043884277,3.1518750190734863,4619869
1982-05-04,1.1942839622497559,3.309468984603882,3.404025077819824,3.1098499298095703,3.1098499298095703,8525878
1982-05-11,1.1829102039337158,3.2779500484466553,3.5090880393981934,3.2569379806518555,3.309468984603882,6380725
1982-05-18,1.1563702821731567,3.2044060230255127,3.2359249591827393,3.1308629512786865,3.225419044494629,6233195
1982-05-25,1.0767513513565063,2.9837749004364014,3.2464311122894287,2.931243896484375,3.2044060230255127,4074955
1982-06-01,1.084334373474121,3.0047879219055176,3.1098499298095703,2.9417500495910645,2.9837749004364014,5036288
1982-06-08,1.1092907190322876,3.0363059043884277,3.1728880405426025,2.931243896484375,3.0047879219055176,5472932
1982-06-15,1.0402005910873413,2.847193956375122,3.0257999897003174,2.7946629524230957,3.015294075012207,4230815
1982-06-22,1.047877550125122,2.868206024169922,2.994281053543091,2.805169105529785,2.847193956375122,5850090
1982-06-29,0.9903008341789246,2.7106130123138428,2.910231113433838,2.7106130123138428,2.868206024169922,8336705
1982-07-06,0.9519179463386536,2.6055500507354736,2.7946629524230957,2.542512893676758,2.7106130123138428,8199881
1982-07-13,0.9519179463386536,2.6055500507354736,2.6895999908447266,2.542512893676758,2.6055500507354736,7126710
1982-07-20,0.955756425857544,2.616055965423584,2.6685879230499268,2.584537982940674,2.6055500507354736,5639500
1982-07-27,0.9826246500015259,2.6895999908447266,2.7106130123138428,2.584537982940674,2.616055965423584,8829267
1982-08-03,0.9442409873008728,2.584537982940674,2.7316250801086426,2.542512893676758,2.6895999908447266,6072575
1982-08-10,0.9173725843429565,2.5109939575195312,2.6370689868927,2.458462953567505,2.584537982940674,5844140
1982-08-17,1.0900996923446655,2.9837749004364014,2.9837749004364014,2.5109939575195312,2.5109939575195312,12424748
1982-08-24,1.1515134572982788,3.1518750190734863,3.2569379806518555,2.973268985748291,2.9837749004364014,11535991
1982-08-31,1.2206050157546997,3.3409879207611084,3.3725059032440186,3.1518750190734863,3.1518750190734863,9359905
1982-09-07,1.3710788488388062,3.7087059020996094,3.740225076675415,3.351494073867798,3.351494073867798,10392623
1982-09-14,1.2467865943908691,3.3725059032440186,3.7192130088806152,3.3409879207611084,3.7087059020996094,9608567
1982-09-21,1.3205851316452026,3.57212495803833,3.5826311111450195,3.3725059032440186,3.404025077819824,10512790
1982-09-28,1.2467865943908691,3.3725059032440186,3.6351630687713623,3.3409879207611084,3.57212495803833,7596669
1982-10-05,1.4448758363723755,3.908324956893921,3.950350046157837,3.361999988555908,3.3725059032440186,12145152
1982-10-12,1.4837169647216797,4.013388156890869,4.170980930328369,3.8347809314727783,3.908324956893921,10853063
1982-10-19,1.4565285444259644,3.9398438930511475,4.1919941902160645,3.929337978363037,4.044906139373779,13092207
1982-10-26,1.4021514654159546,3.7927560806274414,4.002881050109863,3.698199987411499,3.9398438930511475,6377157
1982-11-02,1.4720650911331177,3.9818689823150635,4.128955841064453,3.845288038253784,3.845288038253784,11581203
