Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UTSI,UTSI,UTSI,UTSI,UTSI,UTSI
Date,,,,,,
2000-02-28,817.5,817.5,876.0,492.0,492.0,1071533
2000-03-06,729.0,729.0,876.0,675.0,744.0,594659
2000-03-13,663.0,663.0,720.0,544.5,631.5,406967
2000-03-20,825.0,825.0,840.0,576.0,663.0,274534
2000-03-27,936.75,936.75,1122.0,834.0,834.0,464809
2000-04-03,795.0,795.0,931.5,526.5,928.5,219334
2000-04-10,361.5,361.5,796.5,352.5,796.5,157358
2000-04-17,463.5,463.5,538.5,331.5,372.0,173225
2000-04-24,570.0,570.0,634.5,435.0,466.5,161784
2000-05-01,531.0,531.0,570.0,475.5,549.75,73409
2000-05-08,438.0,438.0,537.0,438.0,519.0,37325
2000-05-15,499.5,499.5,574.5,402.0,432.0,74567
2000-05-22,403.5,403.5,498.0,399.0,481.5,185067
2000-05-29,254.25,254.25,474.0,219.1875,426.0,1209542
2000-06-05,225.0,225.0,273.75,219.0,266.25,360541
2000-06-12,241.5,241.5,257.25,201.0,228.75,387600
2000-06-19,291.75,291.75,307.5,228.0,240.0,265026
2000-06-26,364.5,364.5,396.0,261.0,300.75,352908
2000-07-03,340.5,340.5,370.5,315.0,369.0,131074
2000-07-10,373.5,373.5,386.25,319.5,342.375,160909
2000-07-17,321.0,321.0,394.5,318.0,363.75,103982
2000-07-24,279.0,279.0,333.0,270.0,330.0,89625
2000-07-31,287.25,287.25,319.5,264.0,285.375,103625
2000-08-07,260.25,260.25,300.0,253.5,285.0,108800
2000-08-14,255.75,255.75,277.5,240.0,261.75,159700
2000-08-21,292.5,292.5,297.75,252.75,253.5,94417
2000-08-28,288.0,288.0,294.0,253.5,288.75,319100
2000-09-04,285.75,285.75,311.25,276.0,288.0,128109
2000-09-11,273.0,273.0,282.0,243.0,282.0,143366
2000-09-18,251.25,251.25,288.75,216.0,272.625,184668
2000-09-25,251.25,251.25,276.75,250.5,256.125,161891
2000-10-02,202.5,202.5,252.0,195.0,249.375,74658
2000-10-09,204.0,204.0,224.25,164.25,191.0625,105817
2000-10-16,210.75,210.75,216.0,157.5,202.5,60150
2000-10-23,240.75,240.75,246.0,192.0,210.1875,163516
2000-10-30,270.0,270.0,276.0,235.5,241.3125,158634
2000-11-06,219.75,219.75,275.25,219.75,273.75,55875
2000-11-13,216.0,216.0,241.5,196.5,207.0,32584
2000-11-20,219.0,219.0,220.5,190.5,207.1875,39850
2000-11-27,204.0,204.0,232.5,195.0,221.8125,91525
2000-12-04,205.5,205.5,230.25,195.0,205.5,232433
2000-12-11,204.0,204.0,228.0,204.0,208.3125,93949
2000-12-18,156.0,156.0,204.0,148.5,202.5,139734
2000-12-25,186.0,186.0,209.25,147.75,149.8125,88116
2001-01-01,181.5,181.5,205.5,168.75,188.25,80883
2001-01-08,214.5,214.5,217.5,170.25,178.5,194759
2001-01-15,272.25,272.25,285.0,211.5,216.0,505766
2001-01-22,283.5,283.5,297.0,253.5,267.0,427091
2001-01-29,303.0,303.0,336.0,256.5,283.5,806667
2001-02-05,274.5,274.5,299.25,240.0,298.125,421409
2001-02-12,285.75,285.75,306.0,271.5,274.5,471308
2001-02-19,243.0,243.0,279.375,210.0,279.0,171191
2001-02-26,225.0,225.0,253.5,207.75,243.75,213901
2001-03-05,216.75,216.75,252.75,213.0,223.5,135501
2001-03-12,172.5,172.5,204.0,167.25,200.25,218984
2001-03-19,188.25,188.25,192.75,162.75,174.0,122767
2001-03-26,199.5,199.5,216.0,173.25,187.5,315550
2001-04-02,155.25,155.25,193.5,150.0,192.75,299283
2001-04-09,216.36000061035156,216.36000061035156,228.0,157.32000732421875,157.44000244140625,224100
2001-04-16,276.8399963378906,276.8399963378906,278.2799987792969,199.32000732421875,215.0399932861328,295259
2001-04-23,276.0,276.0,289.32000732421875,227.52000427246094,272.760009765625,615775
2001-04-30,264.4800109863281,264.4800109863281,303.0,256.79998779296875,276.1199951171875,420483
2001-05-07,272.5199890136719,272.5199890136719,299.760009765625,261.0,265.44000244140625,162434
2001-05-14,305.2799987792969,305.2799987792969,310.20001220703125,258.0,271.20001220703125,292024
2001-05-21,294.8399963378906,294.8399963378906,327.3599853515625,292.79998779296875,303.6000061035156,280925
2001-05-28,280.79998779296875,280.79998779296875,294.8399963378906,252.0,294.8399963378906,208759
2001-06-04,297.239990234375,297.239990234375,319.20001220703125,279.6000061035156,279.6000061035156,196633
2001-06-11,278.1600036621094,278.1600036621094,298.79998779296875,264.0,297.239990234375,266391
2001-06-18,246.47999572753906,246.47999572753906,282.0,228.0,276.4800109863281,412075
2001-06-25,279.6000061035156,279.6000061035156,312.0,241.32000732421875,247.0800018310547,312609
2001-07-02,274.0799865722656,274.0799865722656,288.6000061035156,273.1199951171875,288.3599853515625,119024
2001-07-09,295.0799865722656,295.0799865722656,307.32000732421875,258.0,274.79998779296875,435908
2001-07-16,251.27999877929688,251.27999877929688,295.55999755859375,243.60000610351562,295.55999755859375,812092
2001-07-23,250.1999969482422,250.1999969482422,261.0,246.60000610351562,252.60000610351562,299742
2001-07-30,249.0,249.0,266.6400146484375,244.8000030517578,251.8800048828125,326916
2001-08-06,237.24000549316406,237.24000549316406,249.47999572753906,216.83999633789062,248.8800048828125,446225
2001-08-13,225.60000610351562,225.60000610351562,247.0800018310547,222.60000610351562,237.0,283850
2001-08-20,207.0,207.0,230.39999389648438,200.39999389648438,227.0399932861328,286892
2001-08-27,201.0,201.0,216.1199951171875,198.24000549316406,209.27999877929688,367550
2001-09-03,192.36000061035156,192.36000061035156,201.0,178.44000244140625,200.39999389648438,302017
2001-09-10,196.1999969482422,196.1999969482422,199.55999755859375,187.1999969482422,195.1199951171875,112633
2001-09-17,163.32000732421875,163.32000732421875,189.0,155.75999450683594,185.39999389648438,386150
2001-09-24,195.0,195.0,195.36000061035156,163.55999755859375,163.55999755859375,385134
2001-10-01,199.1999969482422,199.1999969482422,233.39999389648438,186.1199951171875,193.55999755859375,520674
2001-10-08,233.16000366210938,233.16000366210938,244.55999755859375,187.44000244140625,198.60000610351562,610525
2001-10-15,241.8000030517578,241.8000030517578,243.60000610351562,225.24000549316406,231.60000610351562,303733
2001-10-22,262.20001220703125,262.20001220703125,275.6400146484375,241.0800018310547,243.60000610351562,800109
2001-10-29,287.3999938964844,287.3999938964844,293.3999938964844,259.32000732421875,263.1600036621094,601434
2001-11-05,245.75999450683594,245.75999450683594,293.3999938964844,242.52000427246094,287.8800048828125,691201
2001-11-12,289.67999267578125,289.67999267578125,292.67999267578125,244.0800018310547,246.1199951171875,589141
2001-11-19,271.67999267578125,271.67999267578125,291.3599853515625,262.79998779296875,286.20001220703125,221259
2001-11-26,287.2799987792969,287.2799987792969,289.79998779296875,261.6000061035156,268.9200134277344,497942
2001-12-03,357.4800109863281,357.4800109863281,372.9599914550781,286.32000732421875,286.44000244140625,1688109
2001-12-10,339.3599853515625,339.3599853515625,377.1600036621094,310.20001220703125,355.79998779296875,960125
2001-12-17,310.32000732421875,310.32000732421875,350.0400085449219,306.0,342.4800109863281,457592
2001-12-24,346.0799865722656,346.0799865722656,364.79998779296875,309.0,309.1199951171875,402417
2001-12-31,391.79998779296875,391.79998779296875,399.3599853515625,333.7200012207031,352.0799865722656,669267
2002-01-07,374.0400085449219,374.0400085449219,427.9200134277344,372.6000061035156,397.20001220703125,895443
2002-01-14,350.6400146484375,350.6400146484375,375.0,323.3999938964844,374.0400085449219,912559
2002-01-21,361.44000244140625,361.44000244140625,367.9200134277344,330.6000061035156,358.20001220703125,614000
2002-01-28,307.79998779296875,307.79998779296875,380.1600036621094,303.0,368.5199890136719,1111058
2002-02-04,264.6000061035156,264.6000061035156,310.67999267578125,248.0399932861328,306.1199951171875,1324550
2002-02-11,278.3999938964844,278.3999938964844,303.4800109863281,258.0,259.79998779296875,573317
2002-02-18,258.0,258.0,280.20001220703125,250.32000732421875,278.2799987792969,396308
2002-02-25,275.1600036621094,275.1600036621094,277.0799865722656,240.24000549316406,253.55999755859375,1019733
2002-03-04,287.760009765625,287.760009765625,299.6400146484375,259.79998779296875,282.4800109863281,1275667
2002-03-11,288.239990234375,288.239990234375,298.67999267578125,279.0,286.67999267578125,516908
2002-03-18,285.1199951171875,285.1199951171875,296.6400146484375,272.3999938964844,289.44000244140625,299000
2002-03-25,314.760009765625,314.760009765625,318.9599914550781,279.6000061035156,286.67999267578125,438591
2002-04-01,293.3999938964844,293.3999938964844,315.6000061035156,288.4800109863281,314.1600036621094,337916
2002-04-08,287.8800048828125,287.8800048828125,310.0799865722656,276.9599914550781,291.8399963378906,331758
2002-04-15,319.0799865722656,319.0799865722656,330.4800109863281,292.79998779296875,294.3599853515625,730633
2002-04-22,290.2799987792969,290.2799987792969,318.1199951171875,287.6400146484375,318.1199951171875,340158
2002-04-29,264.239990234375,264.239990234375,296.8800048828125,260.5199890136719,292.9200134277344,427376
2002-05-06,235.8000030517578,235.8000030517578,275.8800048828125,228.60000610351562,262.79998779296875,892592
2002-05-13,282.239990234375,282.239990234375,288.8399963378906,237.47999572753906,238.1999969482422,818841
2002-05-20,273.9599914550781,273.9599914550781,281.3999938964844,262.32000732421875,276.6000061035156,342292
2002-05-27,267.0,267.0,278.1600036621094,262.20001220703125,273.239990234375,256150
2002-06-03,246.36000061035156,246.36000061035156,266.0400085449219,236.8800048828125,265.32000732421875,374250
2002-06-10,236.52000427246094,236.52000427246094,255.72000122070312,218.8800048828125,249.60000610351562,361000
2002-06-17,233.8800048828125,233.8800048828125,254.39999389648438,230.63999938964844,238.8000030517578,271300
2002-06-24,242.0399932861328,242.0399932861328,251.63999938964844,209.39999389648438,231.9600067138672,378525
2002-07-01,240.0,240.0,246.9600067138672,219.0,245.39999389648438,256050
2002-07-08,236.39999389648438,236.39999389648438,240.60000610351562,216.60000610351562,240.0,302874
2002-07-15,248.39999389648438,248.39999389648438,264.6000061035156,228.72000122070312,233.63999938964844,445357
2002-07-22,192.60000610351562,192.60000610351562,253.8000030517578,177.60000610351562,250.32000732421875,687891
2002-07-29,193.0800018310547,193.0800018310547,218.63999938964844,188.8800048828125,194.39999389648438,375657
2002-08-05,194.27999877929688,194.27999877929688,203.0399932861328,177.0,192.0,299642
2002-08-12,170.75999450683594,170.75999450683594,204.0,154.44000244140625,202.8000030517578,889116
2002-08-19,171.72000122070312,171.72000122070312,188.39999389648438,159.72000122070312,170.75999450683594,484350
2002-08-26,158.39999389648438,158.39999389648438,178.0800018310547,147.36000061035156,172.44000244140625,1655501
2002-09-02,159.60000610351562,159.60000610351562,165.1199951171875,146.52000427246094,158.75999450683594,572233
2002-09-09,172.9199981689453,172.9199981689453,174.9600067138672,156.60000610351562,159.24000549316406,512951
2002-09-16,179.16000366210938,179.16000366210938,184.8000030517578,171.0,173.63999938964844,613242
2002-09-23,195.0,195.0,200.8800048828125,163.32000732421875,178.67999267578125,669966
2002-09-30,194.39999389648438,194.39999389648438,199.1999969482422,177.83999633789062,194.39999389648438,591541
2002-10-07,216.1199951171875,216.1199951171875,217.55999755859375,183.0,194.16000366210938,499158
2002-10-14,200.39999389648438,200.39999389648438,228.47999572753906,184.44000244140625,215.8800048828125,893458
2002-10-21,198.47999572753906,198.47999572753906,204.36000061035156,191.52000427246094,198.60000610351562,517583
2002-10-28,214.9199981689453,214.9199981689453,216.60000610351562,190.0800018310547,199.8000030517578,491491
2002-11-04,210.72000122070312,210.72000122070312,225.9600067138672,204.1199951171875,215.8800048828125,534584
2002-11-11,219.83999633789062,219.83999633789062,220.1999969482422,200.27999877929688,207.47999572753906,426467
2002-11-18,246.1199951171875,246.1199951171875,256.79998779296875,221.27999877929688,221.39999389648438,824809
2002-11-25,246.60000610351562,246.60000610351562,252.0,226.1999969482422,239.63999938964844,442000
2002-12-02,231.60000610351562,231.60000610351562,257.3999938964844,217.1999969482422,249.24000549316406,642117
2002-12-09,224.39999389648438,224.39999389648438,234.0,219.24000549316406,233.8800048828125,499725
2002-12-16,227.75999450683594,227.75999450683594,229.9199981689453,217.8000030517578,225.1199951171875,332607
2002-12-23,229.1999969482422,229.1999969482422,233.8800048828125,223.32000732421875,227.0399932861328,118616
2002-12-30,240.36000061035156,240.36000061035156,242.75999450683594,229.67999267578125,229.8000030517578,199091
2003-01-06,261.4800109863281,261.4800109863281,269.760009765625,239.52000427246094,240.72000122070312,765242
2003-01-13,265.79998779296875,265.79998779296875,288.0,261.8399963378906,264.3599853515625,663875
2003-01-20,235.8000030517578,235.8000030517578,280.0799865722656,235.32000732421875,270.1199951171875,984516
2003-01-27,231.24000549316406,231.24000549316406,241.44000244140625,223.8000030517578,233.75999450683594,681391
2003-02-03,207.47999572753906,207.47999572753906,234.0,202.55999755859375,232.32000732421875,545534
2003-02-10,214.55999755859375,214.55999755859375,224.63999938964844,205.67999267578125,205.8000030517578,394266
2003-02-17,219.0,219.0,226.8000030517578,213.83999633789062,215.16000366210938,429791
2003-02-24,218.16000366210938,218.16000366210938,220.44000244140625,212.39999389648438,218.63999938964844,319609
2003-03-03,204.24000549316406,204.24000549316406,230.8800048828125,198.72000122070312,221.27999877929688,2136433
2003-03-10,227.75999450683594,227.75999450683594,229.1999969482422,199.9199981689453,201.83999633789062,1596767
2003-03-17,244.1999969482422,244.1999969482422,244.67999267578125,225.24000549316406,225.83999633789062,934041
2003-03-24,242.52000427246094,242.52000427246094,249.0,229.32000732421875,238.67999267578125,632958
2003-03-31,252.36000061035156,252.36000061035156,262.79998779296875,234.72000122070312,242.27999877929688,846917
2003-04-07,237.36000061035156,237.36000061035156,261.6000061035156,235.9199981689453,260.3999938964844,774250
2003-04-14,263.2799987792969,263.2799987792969,263.2799987792969,236.63999938964844,237.60000610351562,1052841
2003-04-21,247.9199981689453,247.9199981689453,283.20001220703125,246.0,264.3599853515625,1192607
2003-04-28,280.32000732421875,280.32000732421875,285.9599914550781,242.0399932861328,250.8000030517578,1145792
2003-05-05,281.0400085449219,281.0400085449219,288.0,267.6000061035156,282.8399963378906,947175
2003-05-12,323.8800048828125,323.8800048828125,328.20001220703125,278.2799987792969,281.2799987792969,1867675
2003-05-19,340.79998779296875,340.79998779296875,342.4800109863281,303.6000061035156,323.2799987792969,1280941
2003-05-26,355.79998779296875,355.79998779296875,357.9599914550781,336.0,343.44000244140625,734092
2003-06-02,342.6000061035156,342.6000061035156,363.4800109863281,331.20001220703125,357.1199951171875,1188667
2003-06-09,382.79998779296875,382.79998779296875,397.20001220703125,336.0,342.0,1332825
2003-06-16,392.0400085449219,392.0400085449219,420.0,373.0799865722656,385.44000244140625,1656749
2003-06-23,424.20001220703125,424.20001220703125,430.32000732421875,371.0400085449219,392.8800048828125,1248101
2003-06-30,439.9200134277344,439.9200134277344,446.760009765625,409.20001220703125,433.67999267578125,808108
2003-07-07,466.0799865722656,466.0799865722656,498.6000061035156,451.20001220703125,459.0,1519842
2003-07-14,478.9200134277344,478.9200134277344,505.20001220703125,436.55999755859375,481.79998779296875,1771025
2003-07-21,523.7999877929688,523.7999877929688,528.0,481.55999755859375,483.4800109863281,1427366
2003-07-28,504.9599914550781,504.9599914550781,539.8800048828125,492.0,528.47998046875,1079742
2003-08-04,465.8399963378906,465.8399963378906,524.1599731445312,462.0,503.1600036621094,1080951
2003-08-11,501.8399963378906,501.8399963378906,504.9599914550781,451.20001220703125,466.0799865722656,895007
2003-08-18,542.52001953125,542.52001953125,557.4000244140625,504.7200012207031,506.8800048828125,919917
2003-08-25,516.239990234375,516.239990234375,545.1599731445312,489.0,544.3200073242188,1171333
2003-09-01,511.55999755859375,511.55999755859375,545.6400146484375,506.8800048828125,529.0800170898438,938709
2003-09-08,449.8800048828125,449.8800048828125,503.3999938964844,409.20001220703125,501.4800109863281,3781035
2003-09-15,438.6000061035156,438.6000061035156,461.3999938964844,420.0,458.5199890136719,2011342
2003-09-22,374.8800048828125,374.8800048828125,451.20001220703125,374.1600036621094,427.9200134277344,3195851
2003-09-29,422.0400085449219,422.0400085449219,430.67999267578125,376.20001220703125,390.6000061035156,2698742
2003-10-06,430.0799865722656,430.0799865722656,453.0,426.4800109863281,431.3999938964844,1589841
2003-10-13,406.79998779296875,406.79998779296875,442.79998779296875,406.32000732421875,436.20001220703125,896500
2003-10-20,374.3999938964844,374.3999938964844,426.6000061035156,370.20001220703125,406.9200134277344,2385533
2003-10-27,378.8399963378906,378.8399963378906,396.0,377.8800048828125,381.239990234375,1054383
2003-11-03,412.67999267578125,412.67999267578125,421.20001220703125,375.0,379.79998779296875,1862258
2003-11-10,387.3599853515625,387.3599853515625,417.239990234375,384.9599914550781,417.239990234375,1107009
2003-11-17,429.0,429.0,439.0799865722656,380.1600036621094,386.3999938964844,1765891
2003-11-24,454.55999755859375,454.55999755859375,456.0,430.79998779296875,433.67999267578125,758750
2003-12-01,445.9200134277344,445.9200134277344,468.8399963378906,434.5199890136719,453.6000061035156,1326732
2003-12-08,461.3999938964844,461.3999938964844,463.20001220703125,430.44000244140625,456.1199951171875,1064499
2003-12-15,444.1199951171875,444.1199951171875,478.79998779296875,430.20001220703125,477.4800109863281,1159241
2003-12-22,453.6000061035156,453.6000061035156,454.79998779296875,441.4800109863281,447.0,272925
2003-12-29,460.32000732421875,460.32000732421875,466.67999267578125,444.0,453.6000061035156,475525
2004-01-05,448.79998779296875,448.79998779296875,507.0,446.3999938964844,471.239990234375,3259717
2004-01-12,456.0,456.0,477.0,440.0400085449219,448.0799865722656,1913942
2004-01-19,435.8399963378906,435.8399963378906,464.6400146484375,419.3999938964844,456.7200012207031,1546675
2004-01-26,399.9599914550781,399.9599914550781,442.20001220703125,390.7200012207031,439.9200134277344,1572900
2004-02-02,412.44000244140625,412.44000244140625,418.32000732421875,399.7200012207031,403.32000732421875,1011550
2004-02-09,404.760009765625,404.760009765625,434.3999938964844,404.6400146484375,419.0400085449219,1011017
2004-02-16,409.67999267578125,409.67999267578125,427.9200134277344,398.6400146484375,408.1199951171875,1106125
2004-02-23,397.55999755859375,397.55999755859375,413.8800048828125,381.6000061035156,408.0,1384842
2004-03-01,404.5199890136719,404.5199890136719,417.4800109863281,392.3999938964844,410.3999938964844,1048175
2004-03-08,384.6000061035156,384.6000061035156,410.760009765625,348.7200012207031,406.32000732421875,2253350
2004-03-15,369.7200012207031,369.7200012207031,382.44000244140625,366.0,380.8800048828125,921608
2004-03-22,378.4800109863281,378.4800109863281,380.8800048828125,354.0,368.8800048828125,1256359
2004-03-29,355.32000732421875,355.32000732421875,385.79998779296875,344.760009765625,384.6000061035156,1830108
2004-04-05,358.20001220703125,358.20001220703125,368.0400085449219,355.32000732421875,362.1600036621094,711216
2004-04-12,332.2799987792969,332.2799987792969,364.79998779296875,327.239990234375,363.6000061035156,1161525
2004-04-19,349.79998779296875,349.79998779296875,354.0,320.2799987792969,332.1600036621094,1179751
2004-04-26,316.32000732421875,316.32000732421875,366.0,313.20001220703125,356.1600036621094,1705767
2004-05-03,321.239990234375,321.239990234375,332.2799987792969,309.6000061035156,319.44000244140625,767808
2004-05-10,322.9200134277344,322.9200134277344,336.3599853515625,308.5199890136719,317.3999938964844,871709
2004-05-17,320.5199890136719,320.5199890136719,340.79998779296875,308.0400085449219,312.1199951171875,910092
2004-05-24,373.44000244140625,373.44000244140625,375.8399963378906,326.3999938964844,328.67999267578125,1639592
2004-05-31,365.8800048828125,365.8800048828125,374.0400085449219,361.20001220703125,373.0799865722656,1733884
2004-06-07,366.6000061035156,366.6000061035156,382.20001220703125,364.20001220703125,371.6400146484375,620250
2004-06-14,358.0799865722656,358.0799865722656,364.0799865722656,342.239990234375,360.1199951171875,900351
2004-06-21,360.6000061035156,360.6000061035156,368.0400085449219,342.0,358.0799865722656,742524
2004-06-28,339.6000061035156,339.6000061035156,371.6400146484375,338.5199890136719,369.7200012207031,819041
2004-07-05,317.760009765625,317.760009765625,338.760009765625,315.239990234375,337.32000732421875,608808
2004-07-12,306.1199951171875,306.1199951171875,325.20001220703125,304.44000244140625,312.6000061035156,768224
2004-07-19,298.44000244140625,298.44000244140625,316.55999755859375,295.20001220703125,306.1199951171875,645075
2004-07-26,219.0,219.0,307.0799865722656,210.60000610351562,295.79998779296875,4277384
2004-08-02,208.9199981689453,208.9199981689453,226.67999267578125,207.83999633789062,219.60000610351562,1241433
2004-08-09,180.0,180.0,215.75999450683594,178.9199981689453,210.24000549316406,1954550
2004-08-16,197.75999450683594,197.75999450683594,199.9199981689453,183.0,184.44000244140625,1067801
2004-08-23,196.0800018310547,196.0800018310547,203.8800048828125,186.72000122070312,199.1999969482422,879208
2004-08-30,181.9199981689453,181.9199981689453,195.60000610351562,181.8000030517578,195.0,748609
2004-09-06,192.83999633789062,192.83999633789062,194.39999389648438,180.72000122070312,186.1199951171875,917491
2004-09-13,182.52000427246094,182.52000427246094,205.0800018310547,181.55999755859375,194.27999877929688,1532558
2004-09-20,188.39999389648438,188.39999389648438,193.0800018310547,151.0800018310547,176.39999389648438,4169941
2004-09-27,200.8800048828125,200.8800048828125,202.67999267578125,189.47999572753906,194.63999938964844,1334117
2004-10-04,213.60000610351562,213.60000610351562,238.32000732421875,204.60000610351562,204.60000610351562,2730250
2004-10-11,207.72000122070312,207.72000122070312,219.0,205.9199981689453,213.9600067138672,895441
2004-10-18,214.0800018310547,214.0800018310547,218.75999450683594,204.0,208.1999969482422,986192
2004-10-25,205.44000244140625,205.44000244140625,217.67999267578125,195.0,211.9199981689453,1315609
2004-11-01,214.44000244140625,214.44000244140625,217.8000030517578,201.60000610351562,202.8000030517578,724426
2004-11-08,224.16000366210938,224.16000366210938,228.36000061035156,213.24000549316406,217.8000030517578,912291
2004-11-15,220.9199981689453,220.9199981689453,238.67999267578125,216.0,223.9199981689453,1109884
